#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_slk+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_slk+is_latn,#adm1+name+alt2+i_slk+is_latn,#country+name+i_slk+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:703:1:10,10,Bratislavský kraj,SK010,,,,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:1:21,21,Trnavský kraj,SK021,,,,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:1:22,22,Trenčiansky kraj,SK022,,,,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:1:23,23,Nitriansky kraj,SK023,,,,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:1:31,31,Žilinský kraj,SK031,,,,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:1:32,32,Banskobystrický kraj,SK032,,,,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:1:41,41,Prešovský kraj,SK041,,,,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:1:42,42,Košický kraj,SK042,,,,Slovensko,SK,2022-03-09,2022-03-22,
