qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,slk-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,slk-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:703:1:10,10,1603:45:16:703:0,1603:45:16:703:1:10,Bratislavský kraj,SK010,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:1:21,21,1603:45:16:703:0,1603:45:16:703:1:21,Trnavský kraj,SK021,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:1:22,22,1603:45:16:703:0,1603:45:16:703:1:22,Trenčiansky kraj,SK022,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:1:23,23,1603:45:16:703:0,1603:45:16:703:1:23,Nitriansky kraj,SK023,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:1:31,31,1603:45:16:703:0,1603:45:16:703:1:31,Žilinský kraj,SK031,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:1:32,32,1603:45:16:703:0,1603:45:16:703:1:32,Banskobystrický kraj,SK032,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:1:41,41,1603:45:16:703:0,1603:45:16:703:1:41,Prešovský kraj,SK041,Slovensko,SK,2022-03-09,2022-03-22,
1603:45:16:703:1:42,42,1603:45:16:703:0,1603:45:16:703:1:42,Košický kraj,SK042,Slovensko,SK,2022-03-09,2022-03-22,
