#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:694:2:101,101,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:101,Kailahun,SL0101,Kailahun,,,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:2:102,102,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:102,Kenema,SL0102,Kenema,,,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:2:103,103,1603:45:16:694:0,1603:45:16:694:1:1,1603:45:16:694:2:103,Kono,SL0103,Kono,,,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:2:201,201,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,Bombali,SL0201,Bombali,,,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:2:202,202,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:202,Kambia,SL0202,Kambia,,,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:2:203,203,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:203,Koinadugu,SL0203,Koinadugu,,,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:2:204,204,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:204,Port Loko,SL0204,Port Loko,,,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:2:205,205,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:205,Tonkolili,SL0205,Tonkolili,,,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:2:301,301,1603:45:16:694:0,1603:45:16:694:1:3,1603:45:16:694:2:301,Bo,SL0301,Bo,,,Southern,SL03,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:2:302,302,1603:45:16:694:0,1603:45:16:694:1:3,1603:45:16:694:2:302,Bonthe,SL0302,Bonthe,,,Southern,SL03,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:2:303,303,1603:45:16:694:0,1603:45:16:694:1:3,1603:45:16:694:2:303,Moyamba,SL0303,Moyamba,,,Southern,SL03,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:2:304,304,1603:45:16:694:0,1603:45:16:694:1:3,1603:45:16:694:2:304,Pujehun,SL0304,Pujehun,,,Southern,SL03,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:2:401,401,1603:45:16:694:0,1603:45:16:694:1:4,1603:45:16:694:2:401,Western Area Rural,SL0401,Western Area Rural,,,Western,SL04,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:2:402,402,1603:45:16:694:0,1603:45:16:694:1:4,1603:45:16:694:2:402,Western Area Urban,SL0402,Western Area Urban,,,Western,SL04,Sierra Leone,SL,2017-08-16,2022-01-04,
