14315	000
15316	001
16317	002
17318	003
18319	004
19310	005
19310	010
20312	011
21313	007
21313	012
22314	008
22314	013
23315	009
23315	014
24316	00a
24316	015
25317	00b
26318	00c
26318	017
26318	020
27319	00d
27319	018
27319	021
28310	00e
28310	019
28310	022
29311	00f
29311	01a
29311	023
30313	00g
30313	01b
30313	024
31314	00h
31314	01c
31314	025
32315	00i
32315	01d
33316	00j
33316	01e
33316	027
33316	100
34317	00k
34317	01f
34317	028
34317	101
35318	00l
35318	01g
35318	029
35318	030
35318	102
36319	00m
36319	01h
36319	02a
36319	031
36319	103
37310	00n
37310	01i
37310	02b
37310	032
37310	104
38311	00o
38311	01j
38311	02c
38311	033
38311	105
38311	110
39312	00p
39312	01k
39312	02d
39312	034
39312	111
40314	00q
40314	01l
40314	02e
40314	035
40314	107
40314	112
41315	00r
41315	01m
41315	02f
41315	108
41315	113
42316	00s
42316	01n
42316	02g
42316	037
42316	109
42316	114
43317	00t
43317	01o
43317	02h
43317	038
43317	10a
43317	115
44318	00u
44318	01p
44318	02i
44318	039
44318	10b
45319	00v
45319	01q
45319	02j
45319	03a
45319	10c
45319	117
45319	120
46310	00w
46310	01r
46310	02k
46310	03b
46310	040
46310	10d
46310	118
46310	121
47311	00x
47311	01s
47311	02l
47311	03c
47311	041
47311	10e
47311	119
47311	122
48312	00y
48312	01t
48312	02m
48312	03d
48312	042
48312	10f
48312	11a
48312	123
49313	00z
49313	01u
49313	02n
49313	03e
49313	043
49313	10g
49313	11b
49313	124
50315	01v
50315	02o
50315	03f
50315	044
50315	10h
50315	11c
50315	125
51316	01w
51316	02p
51316	03g
51316	045
51316	10i
51316	11d
52317	01x
52317	02q
52317	03h
52317	10j
52317	11e
52317	127
53318	01y
53318	02r
53318	03i
53318	047
53318	10k
53318	11f
53318	128
54319	01z
54319	02s
54319	03j
54319	048
54319	10l
54319	11g
54319	129
54319	130
55310	02t
55310	03k
55310	049
55310	10m
55310	11h
55310	12a
55310	131
56311	02u
56311	03l
56311	04a
56311	10n
56311	11i
56311	12b
56311	132
57312	02v
57312	03m
57312	04b
57312	10o
57312	11j
57312	12c
57312	133
58313	02w
58313	03n
58313	04c
58313	10p
58313	11k
58313	12d
58313	134
59314	02x
59314	03o
59314	04d
59314	050
59314	10q
59314	11l
59314	12e
59314	135
60316	02y
60316	03p
60316	04e
60316	051
60316	10r
60316	11m
60316	12f
61317	02z
61317	03q
61317	04f
61317	052
61317	10s
61317	11n
61317	12g
61317	137
62318	03r
62318	04g
62318	053
62318	10t
62318	11o
62318	12h
62318	138
63319	03s
63319	04h
63319	054
63319	10u
63319	11p
63319	12i
63319	139
64310	03t
64310	04i
64310	055
64310	10v
64310	11q
64310	12j
64310	13a
65311	03u
65311	04j
65311	10w
65311	11r
65311	12k
65311	13b
65311	140
66312	03v
66312	04k
66312	057
66312	10x
66312	11s
66312	12l
66312	13c
66312	141
67313	03w
67313	04l
67313	058
67313	10y
67313	11t
67313	12m
67313	13d
67313	142
68314	03x
68314	04m
68314	059
68314	10z
68314	11u
68314	12n
68314	13e
68314	143
69315	03y
69315	04n
69315	05a
69315	11v
69315	12o
69315	13f
69315	144
70317	03z
70317	04o
70317	05b
70317	11w
70317	12p
70317	13g
70317	145
70317	200
71318	04p
71318	05c
71318	11x
71318	12q
71318	13h
71318	201
72319	006
72319	04q
72319	05d
72319	11y
72319	12r
72319	13i
72319	147
72319	202
73310	04r
73310	05e
73310	11z
73310	12s
73310	13j
73310	148
73310	203
74311	04s
74311	05f
74311	12t
74311	13k
74311	149
74311	204
75312	04t
75312	05g
75312	12u
75312	13l
75312	14a
75312	205
75312	210
76313	04u
76313	05h
76313	12v
76313	13m
76313	14b
76313	211
77314	016
77314	04v
77314	05i
77314	12w
77314	13n
77314	14c
77314	207
77314	212
78315	04w
78315	05j
78315	12x
78315	13o
78315	14d
78315	150
78315	208
78315	213
79316	04x
79316	05k
79316	12y
79316	13p
79316	14e
79316	151
79316	209
79316	214
80318	04y
80318	05l
80318	12z
80318	13q
80318	14f
80318	152
80318	20a
80318	215
81319	04z
81319	05m
81319	13r
81319	14g
81319	153
81319	20b
82310	05n
82310	13s
82310	14h
82310	154
82310	20c
82310	217
82310	220
83311	05o
83311	13t
83311	14i
83311	155
83311	20d
83311	218
83311	221
84312	026
84312	05p
84312	13u
84312	14j
84312	20e
84312	219
84312	222
85313	05q
85313	13v
85313	14k
85313	157
85313	20f
85313	21a
85313	223
86314	05r
86314	13w
86314	14l
86314	158
86314	20g
86314	21b
86314	224
87315	05s
87315	13x
87315	14m
87315	159
87315	20h
87315	21c
87315	225
88316	05t
88316	13y
88316	14n
88316	15a
88316	20i
88316	21d
89317	05u
89317	13z
89317	14o
89317	15b
89317	20j
89317	21e
89317	227
90319	05v
90319	14p
90319	15c
90319	20k
90319	21f
90319	228
91310	05w
91310	070
91310	106
91310	14q
91310	15d
91310	20l
91310	21g
91310	229
91310	230
92311	05x
92311	071
92311	14r
92311	15e
92311	20m
92311	21h
92311	22a
92311	231
93312	036
93312	05y
93312	072
93312	14s
93312	15f
93312	20n
93312	21i
93312	22b
93312	232
94313	05z
94313	073
94313	14t
94313	15g
94313	20o
94313	21j
94313	22c
94313	233
95314	074
95314	14u
95314	15h
95314	20p
95314	21k
95314	22d
95314	234
96315	075
96315	116
96315	14v
96315	15i
96315	20q
96315	21l
96315	22e
96315	235
97316	14w
97316	15j
97316	20r
97316	21m
97316	22f
98317	077
98317	14x
98317	15k
98317	20s
98317	21n
98317	22g
98317	237
99318	078
99318	14y
99318	15l
99318	20t
99318	21o
99318	22h
99318	238
100311	079
100311	14z
100311	15m
100311	20u
100311	21p
100311	22i
100311	239
101312	07a
101312	15n
101312	20v
101312	21q
101312	22j
101312	23a
102313	07b
102313	15o
102313	20w
102313	21r
102313	22k
102313	23b
102313	240
103314	07c
103314	126
103314	15p
103314	20x
103314	21s
103314	22l
103314	23c
103314	241
104315	046
104315	07d
104315	15q
104315	20y
104315	21t
104315	22m
104315	23d
104315	242
105316	07e
105316	15r
105316	20z
105316	21u
105316	22n
105316	23e
105316	243
106317	07f
106317	15s
106317	21v
106317	22o
106317	23f
106317	244
107318	07g
107318	15t
107318	21w
107318	22p
107318	23g
107318	245
108319	07h
108319	15u
108319	21x
108319	22q
108319	23h
109310	07i
109310	15v
109310	21y
109310	22r
109310	23i
109310	247
110312	07j
110312	080
110312	15w
110312	170
110312	21z
110312	22s
110312	23j
110312	248
111313	07k
111313	081
111313	15x
111313	171
111313	22t
111313	23k
111313	249
112314	07l
112314	082
112314	136
112314	15y
112314	172
112314	22u
112314	23l
112314	24a
113315	07m
113315	083
113315	15z
113315	173
113315	22v
113315	23m
113315	24b
114316	07n
114316	084
114316	174
114316	22w
114316	23n
114316	24c
115317	07o
115317	085
115317	175
115317	22x
115317	23o
115317	24d
115317	250
116318	07p
116318	22y
116318	23p
116318	24e
116318	251
117319	056
117319	07q
117319	087
117319	177
117319	22z
117319	23q
117319	24f
117319	252
118310	07r
118310	088
118310	178
118310	23r
118310	24g
118310	253
119311	07s
119311	089
119311	179
119311	23s
119311	24h
119311	254
120313	07t
120313	08a
120313	17a
120313	23t
120313	24i
120313	255
121314	07u
121314	08b
121314	17b
121314	23u
121314	24j
122315	07v
122315	08c
122315	17c
122315	23v
122315	24k
122315	257
123316	07w
123316	08d
123316	146
123316	17d
123316	23w
123316	24l
123316	258
124317	07x
124317	08e
124317	17e
124317	23x
124317	24m
124317	259
125318	07y
125318	08f
125318	17f
125318	23y
125318	24n
125318	25a
126319	07z
126319	08g
126319	17g
126319	23z
126319	24o
126319	25b
127310	08h
127310	17h
127310	24p
127310	25c
128311	08i
128311	17i
128311	206
128311	24q
128311	25d
129312	08j
129312	17j
129312	180
129312	24r
129312	25e
130314	08k
130314	17k
130314	181
130314	24s
130314	25f
131315	08l
131315	090
131315	17l
131315	182
131315	24t
131315	25g
131315	300
132316	08m
132316	091
132316	17m
132316	183
132316	24u
132316	25h
132316	301
133317	08n
133317	092
133317	17n
133317	184
133317	216
133317	24v
133317	25i
133317	302
134318	08o
134318	093
134318	17o
134318	185
134318	24w
134318	25j
134318	303
135319	08p
135319	094
135319	17p
135319	24x
135319	25k
135319	304
136310	08q
136310	095
136310	156
136310	17q
136310	187
136310	24y
136310	25l
136310	305
136310	310
137311	08r
137311	17r
137311	188
137311	24z
137311	25m
137311	311
138312	08s
138312	097
138312	17s
138312	189
138312	25n
138312	307
138312	312
139313	08t
139313	098
139313	17t
139313	18a
139313	25o
139313	308
139313	313
140315	08u
140315	099
140315	17u
140315	18b
140315	226
140315	25p
140315	309
140315	314
141316	08v
141316	09a
141316	17v
141316	18c
141316	25q
141316	30a
141316	315
142317	08w
142317	09b
142317	17w
142317	18d
142317	25r
142317	30b
143318	08x
143318	09c
143318	17x
143318	18e
143318	25s
143318	30c
143318	317
143318	320
144319	08y
144319	09d
144319	17y
144319	18f
144319	25t
144319	30d
144319	318
144319	321
145310	08z
145310	09e
145310	17z
145310	18g
