#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:716:2:1021,1021,Bulawayo,ZW1021,,,,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1101,1101,Buhera,ZW1101,,,,Manicaland,ZW11,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1102,1102,Chimanimani,ZW1102,,,,Manicaland,ZW11,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1103,1103,Chipinge,ZW1103,,,,Manicaland,ZW11,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1104,1104,Makoni,ZW1104,,,,Manicaland,ZW11,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1105,1105,Mutare,ZW1105,,,,Manicaland,ZW11,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1106,1106,Mutasa,ZW1106,,,,Manicaland,ZW11,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1107,1107,Nyanga,ZW1107,,,,Manicaland,ZW11,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1121,1121,Mutare Urban,ZW1121,,,,Manicaland,ZW11,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1122,1122,Rusape,ZW1122,,,,Manicaland,ZW11,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1123,1123,Chipinge Urban,ZW1123,,,,Manicaland,ZW11,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1201,1201,Bindura,ZW1201,,,,Mashonaland Central,ZW12,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:2:1202,1202,Centenary/ Muzarabani,ZW1202,,,,Mashonaland Central,ZW12,Zimbabwe,ZW,2018-08-31,2020-11-26,
