#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_eng+is_latn,#adm1+name+i_mya+is_mymr,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_mya+is_mymr,#adm1+name+alt2+i_mya+is_mymr,#country+name+i_eng+is_latn,#country+name+i_mya+is_mymr,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:104:1:1,1,Kachin,ကချင်ပြည်နယ်,MM001,,,,,,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:1:2,2,Kayah,ကယားပြည်နယ်,MM002,,,,,,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:1:3,3,Kayin,ကရင်ပြည်နယ်,MM003,,,,,,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:1:4,4,Chin,ချင်းပြည်နယ်,MM004,,,,,,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:1:5,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,,,,,,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:1:6,6,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,MM006,,,,,,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:1:9,9,Magway,မကွေးတိုင်းဒေသကြီး,MM009,,,,,,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:1:10,10,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MM010,,,,,,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:1:11,11,Mon,မွန်ပြည်နယ်,MM011,,,,,,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:1:12,12,Rakhine,ရခိုင်ပြည်နယ်,MM012,,,,,,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:1:13,13,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,MM013,,,,,,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:1:17,17,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MM017,,,,,,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:1:18,18,Nay Pyi Taw,နေပြည်တော်,MM018,,,,,,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:1:111,111,Bago,ပဲခူးတိုင်းဒေသကြီး,MM111,,,,,,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:1:222,222,Shan,ရှမ်းပြည်နယ်,MM222,,,,,,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
