#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:120:2:2009,2009,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2009,Nyong-et-Mfoumou,,CM002009,,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:2010,2010,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2010,Nyong-et-So'o,,CM002010,Nyong-et-Soo,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:3001,3001,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3001,Boumba-et-Ngoko,,CM003001,,,,,,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:3002,3002,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3002,Haut-Nyong,,CM003002,,,,,,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:3003,3003,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3003,Kadey,,CM003003,,,,,,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:3004,3004,1603:45:16:120:0,1603:45:16:120:1:3,1603:45:16:120:2:3004,Lom-et-Djérem,,CM003004,Lom-et-Djerem,,,,,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:4001,4001,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4001,Diamaré,,CM004001,Diamare,,,,,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:4002,4002,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4002,Logone-et-Chari,,CM004002,,,,,,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:4003,4003,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4003,Mayo-Danay,,CM004003,,,,,,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:4004,4004,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4004,Mayo-Kani,,CM004004,,,,,,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:4005,4005,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4005,Mayo-Sava,,CM004005,,,,,,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:4006,4006,1603:45:16:120:0,1603:45:16:120:1:4,1603:45:16:120:2:4006,Mayo-Tsanaga,,CM004006,,,,,,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:5001,5001,1603:45:16:120:0,1603:45:16:120:1:5,1603:45:16:120:2:5001,Moungo,,CM005001,,,,,,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:5002,5002,1603:45:16:120:0,1603:45:16:120:1:5,1603:45:16:120:2:5002,Nkam,,CM005002,,,,,,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:5003,5003,1603:45:16:120:0,1603:45:16:120:1:5,1603:45:16:120:2:5003,Sanaga-Maritime,,CM005003,,,,,,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:5004,5004,1603:45:16:120:0,1603:45:16:120:1:5,1603:45:16:120:2:5004,Wouri,,CM005004,,,,,,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:6001,6001,1603:45:16:120:0,1603:45:16:120:1:6,1603:45:16:120:2:6001,Bénoué,,CM006001,Benoue,,,,,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:6002,6002,1603:45:16:120:0,1603:45:16:120:1:6,1603:45:16:120:2:6002,Faro,,CM006002,,,,,,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:6003,6003,1603:45:16:120:0,1603:45:16:120:1:6,1603:45:16:120:2:6003,Mayo-Louti,,CM006003,,,,,,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:6004,6004,1603:45:16:120:0,1603:45:16:120:1:6,1603:45:16:120:2:6004,Mayo-Rey,,CM006004,,,,,,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:7001,7001,1603:45:16:120:0,1603:45:16:120:1:7,1603:45:16:120:2:7001,Boyo,,CM007001,,,,,,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:7002,7002,1603:45:16:120:0,1603:45:16:120:1:7,1603:45:16:120:2:7002,Bui,,CM007002,,,,,,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:7003,7003,1603:45:16:120:0,1603:45:16:120:1:7,1603:45:16:120:2:7003,Donga-Mantung,,CM007003,,,,,,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:7004,7004,1603:45:16:120:0,1603:45:16:120:1:7,1603:45:16:120:2:7004,Menchum,,CM007004,,,,,,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:7005,7005,1603:45:16:120:0,1603:45:16:120:1:7,1603:45:16:120:2:7005,Mezam,,CM007005,,,,,,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:7006,7006,1603:45:16:120:0,1603:45:16:120:1:7,1603:45:16:120:2:7006,Momo,,CM007006,,,,,,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:7007,7007,1603:45:16:120:0,1603:45:16:120:1:7,1603:45:16:120:2:7007,Ngo-Ketunjia,,CM007007,,,,,,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:8001,8001,1603:45:16:120:0,1603:45:16:120:1:8,1603:45:16:120:2:8001,Bamboutos,,CM008001,,,,,,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:8002,8002,1603:45:16:120:0,1603:45:16:120:1:8,1603:45:16:120:2:8002,Haut-Nkam,,CM008002,,,,,,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:8003,8003,1603:45:16:120:0,1603:45:16:120:1:8,1603:45:16:120:2:8003,Hauts-Plateaux,,CM008003,,,,,,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:8004,8004,1603:45:16:120:0,1603:45:16:120:1:8,1603:45:16:120:2:8004,Koung-Khi,,CM008004,,,,,,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:8005,8005,1603:45:16:120:0,1603:45:16:120:1:8,1603:45:16:120:2:8005,Menoua,,CM008005,,,,,,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:8006,8006,1603:45:16:120:0,1603:45:16:120:1:8,1603:45:16:120:2:8006,Mifi,,CM008006,,,,,,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:8007,8007,1603:45:16:120:0,1603:45:16:120:1:8,1603:45:16:120:2:8007,Ndé,,CM008007,Nde,,,,,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:8008,8008,1603:45:16:120:0,1603:45:16:120:1:8,1603:45:16:120:2:8008,Noun,,CM008008,,,,,,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:9001,9001,1603:45:16:120:0,1603:45:16:120:1:9,1603:45:16:120:2:9001,Dja-et-Lobo,,CM009001,,,,,,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:9002,9002,1603:45:16:120:0,1603:45:16:120:1:9,1603:45:16:120:2:9002,Mvila,,CM009002,,,,,,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:9003,9003,1603:45:16:120:0,1603:45:16:120:1:9,1603:45:16:120:2:9003,Océan,,CM009003,Ocean,,,,,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:9004,9004,1603:45:16:120:0,1603:45:16:120:1:9,1603:45:16:120:2:9004,Vallée-du-Ntem,,CM009004,Vallee-du-Ntem,,,,,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:10001,10001,1603:45:16:120:0,1603:45:16:120:1:10,1603:45:16:120:2:10001,Fako,,CM010001,,,,,,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:10002,10002,1603:45:16:120:0,1603:45:16:120:1:10,1603:45:16:120:2:10002,Kupe-Manenguba,,CM010002,,,,,,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:10003,10003,1603:45:16:120:0,1603:45:16:120:1:10,1603:45:16:120:2:10003,Lebialem,,CM010003,,,,,,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:10004,10004,1603:45:16:120:0,1603:45:16:120:1:10,1603:45:16:120:2:10004,Manyu,,CM010004,,,,,,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:10005,10005,1603:45:16:120:0,1603:45:16:120:1:10,1603:45:16:120:2:10005,Meme,,CM010005,,,,,,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:10006,10006,1603:45:16:120:0,1603:45:16:120:1:10,1603:45:16:120:2:10006,Ndian,,CM010006,,,,,,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
