#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:120:2:1001,1001,1603:45:16:120:0,1603:45:16:120:1:1,1603:45:16:120:2:1001,Djérem,,CM001001,Djerem,,,,,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:1002,1002,1603:45:16:120:0,1603:45:16:120:1:1,1603:45:16:120:2:1002,Faro-et-Déo,,CM001002,Faro-et-Deo,,,,,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:1003,1003,1603:45:16:120:0,1603:45:16:120:1:1,1603:45:16:120:2:1003,Mayo-Banyo,,CM001003,,,,,,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:1004,1004,1603:45:16:120:0,1603:45:16:120:1:1,1603:45:16:120:2:1004,Mbéré,,CM001004,Mbere,,,,,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:1005,1005,1603:45:16:120:0,1603:45:16:120:1:1,1603:45:16:120:2:1005,Vina,,CM001005,,,,,,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:2001,2001,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2001,Haute-Sanaga,,CM002001,,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:2002,2002,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2002,Lekié,,CM002002,Lekie,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:2003,2003,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2003,Mbam-et-Inoubou,,CM002003,,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:2004,2004,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2004,Mbam-et-Kim,,CM002004,,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:2005,2005,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2005,Mefou-et-Afamba,,CM002005,,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:2006,2006,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2006,Mefou-et-Akono,,CM002006,,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:2007,2007,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2007,Mfoundi,,CM002007,,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
1603:45:16:120:2:2008,2008,1603:45:16:120:0,1603:45:16:120:1:2,1603:45:16:120:2:2008,Nyong-et-Kellé,,CM002008,Nyong-et-Kelle,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
