#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:214:2:101,101,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:101,Provincia Duarte,DO0101,,,,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:102,102,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:102,Provincia Hermanas Mirabal,DO0102,,,,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:103,103,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:103,Provincia María Trinidad Sánchez,DO0103,Provincia Maria Trinidad Sanchez,,,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:104,104,1603:45:16:214:0,1603:45:16:214:1:1,1603:45:16:214:2:104,Provincia Samaná,DO0104,Provincia Samana,,,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:201,201,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:201,Provincia Dajabón,DO0201,Provincia Dajabon,,,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:202,202,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:202,Provincia Monte Cristi,DO0202,,,,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:203,203,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:203,Provincia Santiago Rodríguez,DO0203,Provincia Santiago Rodriguez,,,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:204,204,1603:45:16:214:0,1603:45:16:214:1:2,1603:45:16:214:2:204,Provincia Valverde,DO0204,,,,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:301,301,1603:45:16:214:0,1603:45:16:214:1:3,1603:45:16:214:2:301,Provincia Espaillat,DO0301,,,,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
1603:45:16:214:2:302,302,1603:45:16:214:0,1603:45:16:214:1:3,1603:45:16:214:2:302,Provincia Puerto Plata,DO0302,,,,Región Cibao Norte,DO03,República Dominicana (la),DO,2017-09-06,2021-07-01,
