#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_aze+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_aze+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_aze+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_aze+is_latn+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:31:1:3,3,1603:45:16:31:0,1603:45:16:31:1:3,Baku,Bakı,AZ00000003,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
1603:45:16:31:1:10100001,10100001,1603:45:16:31:0,1603:45:16:31:1:10100001,Sadarak,Sədərək,AZ10100001,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
1603:45:16:31:1:10200001,10200001,1603:45:16:31:0,1603:45:16:31:1:10200001,Sharur,Şərur,AZ10200001,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
1603:45:16:31:1:10300001,10300001,1603:45:16:31:0,1603:45:16:31:1:10300001,Babek,Babək,AZ10300001,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
1603:45:16:31:1:10400002,10400002,1603:45:16:31:0,1603:45:16:31:1:10400002,Nakhchivan,Naxçıvan,AZ10400002,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
1603:45:16:31:1:10500001,10500001,1603:45:16:31:0,1603:45:16:31:1:10500001,Shahbuz,Şahbuz,AZ10500001,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
1603:45:16:31:1:10600001,10600001,1603:45:16:31:0,1603:45:16:31:1:10600001,Julfa,Culfa,AZ10600001,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
1603:45:16:31:1:10700001,10700001,1603:45:16:31:0,1603:45:16:31:1:10700001,Ordubad,Ordubad,AZ10700001,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
1603:45:16:31:1:10800001,10800001,1603:45:16:31:0,1603:45:16:31:1:10800001,Kengerli,Kəngərli,AZ10800001,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
1603:45:16:31:1:20000002,20000002,1603:45:16:31:0,1603:45:16:31:1:20000002,Ganja,Gəncə,AZ20000002,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
1603:45:16:31:1:30100001,30100001,1603:45:16:31:0,1603:45:16:31:1:30100001,Gusar,Qusar,AZ30100001,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
1603:45:16:31:1:30200001,30200001,1603:45:16:31:0,1603:45:16:31:1:30200001,Khachmaz,Xaçmaz,AZ30200001,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
1603:45:16:31:1:30300001,30300001,1603:45:16:31:0,1603:45:16:31:1:30300001,Guba,Quba,AZ30300001,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
1603:45:16:31:1:30400001,30400001,1603:45:16:31:0,1603:45:16:31:1:30400001,Shabran,Şabran,AZ30400001,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
1603:45:16:31:1:30500001,30500001,1603:45:16:31:0,1603:45:16:31:1:30500001,Siyazan,Siyəzən,AZ30500001,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
1603:45:16:31:1:30600001,30600001,1603:45:16:31:0,1603:45:16:31:1:30600001,Khizy,Xızı,AZ30600001,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
1603:45:16:31:1:30700001,30700001,1603:45:16:31:0,1603:45:16:31:1:30700001,Gobustan,Qobustan,AZ30700001,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
1603:45:16:31:1:30800001,30800001,1603:45:16:31:0,1603:45:16:31:1:30800001,Absheron,Abşeron,AZ30800001,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
1603:45:16:31:1:30900002,30900002,1603:45:16:31:0,1603:45:16:31:1:30900002,Sumgait,Sumqayıt,AZ30900002,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
1603:45:16:31:1:40100001,40100001,1603:45:16:31:0,1603:45:16:31:1:40100001,Balakan,Balakən,AZ40100001,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
1603:45:16:31:1:40200001,40200001,1603:45:16:31:0,1603:45:16:31:1:40200001,Zagatala,Zaqatala,AZ40200001,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
1603:45:16:31:1:40300001,40300001,1603:45:16:31:0,1603:45:16:31:1:40300001,Gakh,Qax,AZ40300001,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
1603:45:16:31:1:40401002,40401002,1603:45:16:31:0,1603:45:16:31:1:40401002,Shaki,Şəki,AZ40401002,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
1603:45:16:31:1:40500001,40500001,1603:45:16:31:0,1603:45:16:31:1:40500001,Oghuz,Oğuz,AZ40500001,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
1603:45:16:31:1:40600001,40600001,1603:45:16:31:0,1603:45:16:31:1:40600001,Gabala,Qəbələ,AZ40600001,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
1603:45:16:31:1:40700001,40700001,1603:45:16:31:0,1603:45:16:31:1:40700001,Ismayilly,İsmayıllı,AZ40700001,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
1603:45:16:31:1:40800001,40800001,1603:45:16:31:0,1603:45:16:31:1:40800001,Goychay,Göyçay,AZ40800001,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
1603:45:16:31:1:40900001,40900001,1603:45:16:31:0,1603:45:16:31:1:40900001,Aghsu,Ağsu,AZ40900001,,,,,,AZ,Azerbaijan,Azərbaycan,2020-11-24,2020-11-24,
