#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_fra+is_latn,#adm1+name+alt2+i_fra+is_latn,#country+name+i_fra+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:140:1:11,11,Ombella M'Poko,CF11,Ombella MPoko,,,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:12,12,Lobaye,CF12,Lobaye,,,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:21,21,Mambéré-Kadéï,CF21,Mambere-Kadei,,,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:22,22,Nana-Mambéré,CF22,Nana-Mambere,,,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:23,23,Sangha-Mbaéré,CF23,Sangha-Mbaere,,,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:31,31,Ouham Pendé,CF31,Ouham Pende,,,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:32,32,Ouham,CF32,Ouham,,,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:41,41,Kémo,CF41,Kemo,,,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:42,42,Nana-Gribizi,CF42,Nana-Gribizi,,,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:43,43,Ouaka,CF43,Ouaka,,,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:51,51,Bamingui-Bangoran,CF51,Bamingui-Bangoran,,,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:52,52,Haute-Kotto,CF52,Haute-Kotto,,,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:53,53,Vakaga,CF53,Vakaga,,,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:61,61,Basse-Kotto,CF61,Basse-Kotto,,,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:62,62,Mbomou,CF62,Mbomou,,,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:63,63,Haut-Mbomou,CF63,Haut-Mbomou,,,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:71,71,Bangui,CF71,Bangui,,,République centrafricaine,CF,2014-08-02,2020-12-01,
