qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,fra-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:140:1:11,11,1603:45:16:140:0,1603:45:16:140:1:11,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:12,12,1603:45:16:140:0,1603:45:16:140:1:12,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:21,21,1603:45:16:140:0,1603:45:16:140:1:21,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:22,22,1603:45:16:140:0,1603:45:16:140:1:22,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:23,23,1603:45:16:140:0,1603:45:16:140:1:23,Sangha-Mbaéré,CF23,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:31,31,1603:45:16:140:0,1603:45:16:140:1:31,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:32,32,1603:45:16:140:0,1603:45:16:140:1:32,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:41,41,1603:45:16:140:0,1603:45:16:140:1:41,Kémo,CF41,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:42,42,1603:45:16:140:0,1603:45:16:140:1:42,Nana-Gribizi,CF42,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:43,43,1603:45:16:140:0,1603:45:16:140:1:43,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:51,51,1603:45:16:140:0,1603:45:16:140:1:51,Bamingui-Bangoran,CF51,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:52,52,1603:45:16:140:0,1603:45:16:140:1:52,Haute-Kotto,CF52,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:53,53,1603:45:16:140:0,1603:45:16:140:1:53,Vakaga,CF53,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:61,61,1603:45:16:140:0,1603:45:16:140:1:61,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:62,62,1603:45:16:140:0,1603:45:16:140:1:62,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:63,63,1603:45:16:140:0,1603:45:16:140:1:63,Haut-Mbomou,CF63,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:1:71,71,1603:45:16:140:0,1603:45:16:140:1:71,Bangui,CF71,République centrafricaine,CF,2014-08-02,2020-12-01,
