#item+conceptum+numerordinatio,#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_glidehc,#item+rem+i_qcc+is_zxxx+ix_wikip3916,#item+rem+i_qcc+is_zxxx+ix_wikip487,#item+rem+i_qcc+is_zxxx+ix_hxlix,#item+rem+i_qcc+is_zxxx+ix_codexfacto,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_ara+is_arab,#item+rem+i_hye+is_armn,#item+rem+i_ben+is_beng,#item+rem+i_rus+is_cyrl,#item+rem+i_hin+is_deva,#item+rem+i_grc+is_grek,#item+rem+i_kan+is_knda,#item+rem+i_kor+is_hang,#item+rem+i_lzh+is_hant,#item+rem+i_heb+is_hebr,#item+rem+i_lat+is_latn,#item+rem+i_tam+is_taml,#item+rem+i_tel+is_telu,#item+rem+i_tha+is_thai,#item+rem+i_san+is_zzzz,#item+rem+i_zho+is_zzzz,#item+rem+i_por+is_latn,#item+rem+i_eng+is_latn,#item+rem+i_fra+is_latn,#item+rem+i_nld+is_latn,#item+rem+i_deu+is_latn,#item+rem+i_spa+is_latn,#item+rem+i_ita+is_latn,#item+rem+i_gle+is_latn,#item+rem+i_swe+is_latn,#item+rem+i_ceb+is_latn,#item+rem+i_sqi+is_latn,#item+rem+i_pol+is_latn,#item+rem+i_fin+is_latn,#item+rem+i_ron+is_latn,#item+rem+i_vie+is_latn,#item+rem+i_cat+is_latn,#item+rem+i_ukr+is_cyrl,#item+rem+i_bul+is_cyrl,#item+rem+i_slv+is_latn,#item+rem+i_war+is_latn,#item+rem+i_nob+is_latn,#item+rem+i_ces+is_latn,#item+rem+i_dan+is_latn,#item+rem+i_jpn+is_jpan,#item+rem+i_nno+is_latn,#item+rem+i_mal+is_mlym,#item+rem+i_ind+is_latn,#item+rem+i_fas+is_zzzz,#item+rem+i_hun+is_latn,#item+rem+i_eus+is_latn,#item+rem+i_cym+is_latn,#item+rem+i_glg+is_latn,#item+rem+i_slk+is_latn,#item+rem+i_epo+is_latn,#item+rem+i_msa+is_zzzz,#item+rem+i_est+is_latn,#item+rem+i_hrv+is_latn,#item+rem+i_tur+is_latn,#item+rem+i_nds+is_latn,#item+rem+i_oci+is_latn,#item+rem+i_zho+is_hans,#item+rem+i_bre+is_latn,#item+rem+i_arz+is_latn,#item+rem+i_afr+is_latn,#item+rem+i_ltz+is_latn,#item+rem+i_sco+is_latn,#item+rem+i_bar+is_latn,#item+rem+i_arg+is_latn,#item+rem+i_zho+is_hant,#item+rem+i_pap+is_latn,#item+rem+i_cos+is_latn,#item+rem+i_gsw+is_latn,#item+rem+i_isl+is_latn,#item+rem+i_min+is_latn,#item+rem+i_roh+is_latn,#item+rem+i_vec+is_latn,#item+rem+i_pms+is_latn,#item+rem+i_scn+is_latn,#item+rem+i_srd+is_latn,#item+rem+i_gla+is_latn,#item+rem+i_lim+is_latn,#item+rem+i_wln+is_latn,#item+rem+i_srp+is_latn,#item+rem+i_vls+is_latn,#item+rem+i_nap+is_latn,#item+rem+i_lij+is_latn,#item+rem+i_fur+is_latn,#item+rem+i_pcd+is_latn,#item+rem+i_wol+is_latn,#item+rem+i_kon+is_latn,#item+rem+i_frp+is_latn,#item+rem+i_wuu+is_zyyy,#item+rem+i_srp+is_cyrl,#item+rem+i_urd+is_arab,#item+rem+i_gan+is_zyyy,#item+rem+i_lit+is_latn,#item+rem+i_gan+is_hans,#item+rem+i_hbs+is_latn,#item+rem+i_lav+is_latn,#item+rem+i_bos+is_latn,#item+rem+i_srn+is_latn,#item+rem+i_azb+is_arab,#item+rem+i_jav+is_latn,#item+rem+i_ell+is_grek,#item+rem+i_sun+is_latn,#item+rem+i_fry+is_latn,#item+rem+i_ace+is_latn,#item+rem+i_jam+is_latn,#item+rem+i_che+is_cyrl,#item+rem+i_bel+is_cyrl,#item+rem+i_kab+is_latn,#item+rem+i_fao+is_latn,#item+rem+i_vmf+is_latn,#item+rem+i_bam+is_zzzz,#item+rem+i_frc+is_latn,#item+rem+i_prg+is_latn,#item+rem+i_lmo+is_latn,#item+rem+i_mar+is_deva,#item+rem+i_vol+is_latn,#item+rem+i_ina+is_latn,#item+rem+i_ile+is_latn,#item+rem+i_zul+is_latn,#item+rem+i_mul+is_zxxx,#item+rem+i_und+is_zxxx,#item+rem+i_zxx+is_zxxx
1603:45:31:0:1603:1:7:2616:50,0_1603_1_7_2616_50,,,,,,,,,EticaAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:31:0:1603:1:7:2616:123,0_1603_1_7_2616_123,,,,,,,,,EticaAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:31:0:1603:1:7:2616:2479,0_1603_1_7_2616_2479,,,,,,,,,CC0-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:31:0:1603:1:7:2616:577,0_1603_1_7_2616_577,,,,,,,,,2022-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:31:0:1603:1:7:2616:7535,0_1603_1_7_2616_7535,,,,,,,,,"The decision making behind the concepts of the dictionaries is based mostly on calamities (disasters) commonly cited on emergency response in humanitarian areas. When this is the case, the interlingual external codes will also be added to the concept.\n\nThe terminology translations are extracted from Wikidata, which means this recommended derived works periodically check for updates.\n\n\nTODO: add more items from https://reliefweb.int/taxonomy-descriptions#disastertype\n\n\nhttps://council.science/wp-content/uploads/2020/06/UNDRR_Hazard-Report_DIGITAL.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603:45:31:1,1,,,Q3839081,/disaster/,,concept206,,,,Q3839081,كارثة,աղետ,দুর্যোগ,катастрофа,आपदा,,ವಿಪತ್ತು,재난,,אסון,Calamitas,,,ภัยพิบัติ,Chanakya,灾害,desastre,disaster,catastrophe,ramp,Katastrophe,desastre,disastro,tubaiste,katastrof,,,katastrofa,onnettomuus,Dezastru,thảm họa,desastre,катастрофа,бедствие,Desastre,,katastrofe,katastrofa,katastrofe,災害,katastrofe,ദുരന്തം,bencana,فاجعه,baleset,hondamen,trychineb,desastre,Katastrofa,katastrofo,bencana,Katastroof,katastrofa,afet,Desastre,desastre,,desastre,,desastre,Desastre,disaster,Katastrophen,desastre,災害,,desastre,Katastrophe,Desastre,Desastre,Desastre,Desastre,Desastre,Desastre,Desastre,desastre,Desastre,Desastre,katastrofa,Desastre,Desastre,Desastre,desastre,Desastre,Desastre,Desastre,desastre,灾害,катастрофа,disaster and there types,,Katastrofa,,katastrofa,katastrofa,katastrofa,,,,καταστροφή,,Ramp,,,,катастрофа,,,,,,,,अपघात,Desastre,calamitate,Desastre,Desastre,,,
1603:45:31:8065,8065,,,Q8065,/natural disaster/@eng-Latn,EP,concept4772,,,,Q8065,كارثة طبيعية,Տարերային աղետներ,প্রাকৃতিক দুর্যোগ,стихийное бедствие,प्राकृतिक आपदjhjjn,,ನೈಸರ್ಗಿಕ ವಿಕೋಪ,자연재해,,אסון טבע,calamitas naturalis,இயற்கைப் பேரழிவு,ప్రకృతి వైపరీత్యాలు,ภัยธรรมชาติ,प्राकृतिकी आपद्,自然灾害,desastre natural,natural disaster,catastrophe naturelle,natuurramp,Naturkatastrophe,desastre natural,disastro naturale,tubaiste nádúrtha,naturkatastrof,,,klęska żywiołowa,luonnonkatastrofi,catastrofă naturală,thiên tai,catàstrofe natural,стихійне лихо,Природно бедствие,naravna katastrofa,desastre natural,naturkatastrofe,živelná pohroma,naturkatastrofe,自然災害,naturkatastrofe,പ്രകൃതിക്ഷോഭം,bencana alam,بلایای طبیعی,természeti katasztrófa,Hondamen natural,trychineb naturiol,catástrofe natural,živelná pohroma,naturkatastrofo,bencana alam,loodusõnnetus,prirodna katastrofa,doğal afet,Naturkatastroof,catastròfa naturala,,,,natuurramp,,naitural disaster,Natuakatastrophn,desastre naturalu,自然災害,,,Naturkatastrophe,náttúruhamfarir,,,dezastro naturałe,,disastru,,,Netuurramp,,,,,,,,,,,天灾,природна катастрофа,قدرتی آفت,,stichinė nelaimė,,prirodna katastrofa,dabas katastrofa,prirodna katastrofa,,,,φυσική καταστροφή,,Natoerramp,,,,стыхійнае бедства,,náttúruvanlukka,,,,,,नैसर्गिक संकट,,Disastro natural,,,,,
1603:45:31:8065:7944,8065_7944,,,Q7944,/earthquake || result of a sudden release of energy in the Earth's crust that creates seismic waves/@eng-Latn,EQ,concept8600,,,,Q7944,زلزال,երկրաշարժ,ভূমিকম্প,Землетрясение,भूकंप,,ಭೂಕಂಪ,지진,地震,רעידת אדמה,Terrae motus,நிலநடுக்கம்,భూకంపం,แผ่นดินไหว,भूकंप,地震,sismo,earthquake,séisme,aardbeving,Erdbeben,terremoto,terremoto,Crith talún,jordbävning,Linog,Tërmeti,trzęsienie ziemi,maanjäristys,Cutremur,Động đất,terratrèmol,землетрус,Земетресение,Potres,Linog,jordskjelv,zemětřesení,Jordskælv,地震,jordskjelv,ഭൂകമ്പം,gempa bumi,زمینلرزه,földrengés,lurrikara,Daeargryn,terremoto,zemetrasenie,tertremo,gempa bumi,Maavärin,Potres,Deprem,Eerdbeven,Tèrratrem,,Kren-douar,,Aardbewing,Äerdbiewen,yirdquauk,Eadbebm,Tierratremo,地震,Terremoto,Terramotu,Erdbäbe,Jarðskjálfti,,Terratrembel,teramoto,,Tirrimotu,Terremotu,Crith-thalmhainn,Eerdsjók,Tronnmint d' tere,,Eirdbevienge,Tarramut,,,,,,,地震,земљотрес,زلزلہ,地震,Žemės drebėjimas,,potres,zemestrīce,Potres,Grontapubeyfi,زلزله,Lindhu,σεισμός,Lini,Ierdskodding,,Oertkwiek,,Землетрасенне,,Jarðskjálvti,,,,,Terremot,भूकंप,,Seismo,,,,,
1603:45:31:8065:8068,8065_8068,,,Q8068,/flood || overflow of water that submerges land/@eng-Latn,FL,concept10949,,,,Q8068,فيضان,Ջրհեղեղ,বন্যা,наводнение,बाढ़,,ಪ್ರವಾಹ,홍수,水災,שיטפון,Inundatio,வெள்ளம்,వరద,น้ำท่วม,प्लावन,洪灾,inundação,flood,inondation,overstroming,Hochwasser,inundación,inondazione,Tuile,översvämning,,,powódź,tulva,Inundație,lụt,inundació,повідь,наводнение,Poplava,Bahâ,flom,povodeň,oversvømmelse,洪水,flaum,വെള്ളപ്പൊക്കം,Banjir,سیل,árvíz,uholde,Llifogydd,Inundación,Povodeň,inundo,banjir,üleujutus,Poplava,Sel,Hoogwater,Inondacion,,Dour-beuz,,Oorstroming,,fluid,Fluad,Inundación,洪災,,,Hochwasser,flóð,,,inondasion,,Allavinamentu,,,,grossès aiwes,poplava,,Alluvione,,,,,,,洪水,поплава,سیلاب,水澇,Potvynis,,poplava,plūdi,Poplava,,داشقین,Banjir,πλημμύρα,Caah,Oerstreaming,,Flod,,паводка,,flóð,,,,,,पूर,,Inundation,,,,,
1603:45:31:8065:8068:860333,8065_8068_860333,,,Q860333,"/flash flood || rapid flooding of low-lying areas, often caused by heavy rain associated with a severe thunderstorm, hurricane, tropical storm, or melt water from ice or snow/@eng-Latn",FF,,,,,Q860333,سيل,,,Внезапный паводок,flash flood,,,,,שיטפון בזק,,,,น้ำป่า,,山洪暴發,enchente relâmpago,flash flood,crue soudaine,stortvloed,Sturzflut,inundación relámpago,,Maidhm thuile,,,,Powódź błyskawiczna,äkkitulva,Viitură,Lũ quét,inundació sobtada,,,,Daralwa,,blesková povodeň,,鉄砲水,,,Banjir Bandang,سیل ناگهانی,,,,,,Subita inundo,,,,Seyelan,,,,Dic'hlann,,,,,,Flash flood,突發性洪水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caah déngdéng,,,,,,,,,,,,,,,,,,,,
1603:45:31:8065:8070,8065_8070,,,Q8070,/tsunami || series of water waves caused by the displacement of a large volume of a body of water/@eng-Latn,TS,concept8611,,,,Q8070,تسونامي,ցունամի,সুনামি,Цунами,सूनामी,,ಸುನಾಮಿ,지진해일,海溢,צונאמי,Megacyma,ஆழிப்பேரலை,సునామి,คลื่นสึนามิ,त्सुनामी,海啸,tsunami,tsunami,tsunami,tsunami,Tsunami,tsunami,maremoto,Súnámaí,tsunami,,Cunami,tsunami,Tsunami,Tsunami,sóng thần,tsunami,цунамі,Цунами,Cunami,Tsunami,tsunami,tsunami,tsunami,津波,flodbølgje,സുനാമി,tsunami,سونامی,Cunami,tsunami,Tsunami,Tsunami,Cunami,cunamo,tsunami,Tsunami,Cunami,tsunami,Tsunami,Tsunami,,Tsunami,,Tsoenami,Tsunami,tsunami,Tsunami,Tsunami,海嘯,Tsunami,,Tsunami,Flóðbylgja,Tsunami,,Tsunami,,Tsunami,,Tsunami,Tsunami,,,,,,,,,,,海啸,цунами,جنوبی ايشيا ميں سونامی,海嘯,Cunamis,,Tsunami,cunami,Cunami,,تسونامی,Tsunami,Τσουνάμι,Sunami,Tsûnamy,Ië beuna,,,Цунамі,Tsunami,Flóðaldur,,,,,Tsunami,त्सुनामी,,Tsunami,,,,,
1603:45:31:8065:8092,8065_8092,,,Q8092,"/tropical cyclone || rapidly rotating storm system characterized by a low-pressure center, a closed low-level atmospheric circulation, strong winds, and a spiral arrangement of thunderstorms that produce heavy rain and/or squalls/@eng-Latn",TC,,,,,Q8092,إعصار استوائي,Արևադարձային ցիկլոն,ক্রান্তীয় ঘূর্ণিঝড়,тропический циклон,उष्णकटिबंधीय चक्रवात,,ಚಂಡಮಾರುತ,열대 저기압,熱帶氣旋,סופה טרופית,Typhon marinus,வெப்ப மண்டலச் சூறாவளி,,พายุหมุนเขตร้อน,प्रभञ्जन,熱帶氣旋,ciclone tropical,tropical cyclone,cyclone tropical,tropische cycloon,tropischer Wirbelsturm,ciclón tropical,ciclone tropicale,cioclón trópaiceach,tropisk cyklon,Bagyo,,cyklon tropikalny,trooppinen hirmumyrsky,ciclon tropical,xoáy thuận nhiệt đới,cicló tropical,тропічний циклон,тропически циклон,tropski ciklon,bagyo,tropisk syklon,tropická cyklóna,tropisk cyklon,熱帯低気圧,tropisk syklon,ചുഴലിക്കാറ്റ്,siklon tropis,توفند,trópusi ciklon,zikloi tropikal,Corwynt,ciclón tropical,Tropická cyklóna,tropika ciklono,siklon tropika,troopiline tsüklon,tropska oluja,Kasırga,,ciclon tropical,,,,tropiese sikloon,tropesche Wierbelstuerm,,tropischa Wiabeschtuam,ciclón tropical,熱帶氣旋,tormenta tropikal,,tropischer Wirbelsturm,fellibylur,,,siclon tropegałe,,cicluni tropicali,,,,,,,,,,,,,,热带气旋,тропски циклон,طوفان,,tropische cyclone,,tropski ciklon,viesuļvētra,tropski ciklon,,,siklon tropis,Τροπικός κυκλώνας,Siklon Tropis,tropyske stoarm,,Chrapikal saikluon,,трапічны цыклон,,Ódnir,,,,,Uragan,हरिकेन,,cyclon tropic,,,,,
1603:45:31:8065:43059,8065_43059,,,Q43059,/drought || extended period when a region notes a deficiency in its water supply/@eng-Latn,DR,concept2849,,,,Q43059,جفاف,Երաշտ,খরা,засуха,सूखा,,ಬರ,가뭄,旱災,בצורת,Ariditas,வறட்சி,అనావృష్టి,ภัยแล้ง,,干旱,seca,drought,sécheresse,droogte,Dürre,sequía,siccità,Triomach,torka,Hulaw,,susza,kuivuuskausi,Secetă,Hạn hán,sequera,посуха,суша,Suša,,tørke,sucho,tørke,干ばつ,tørke,വരൾച്ച,Kekeringan,خشکسالی,aszály,Lehorte,,Seca,Sucho,trosekeco,Kemarau,Põud,Suša,kuraklık,,Secada,,sec'hor,,Droogte,,,,,,,,,Þurrkar,,,,,,,,,,,,,,,,,,,干旱,суша,,乾旱,Sausra,,suša,Sausums,Suša,,قوراغلیق,,Ξηρασία,,Drûchte,,,,Засуха,Takewt,,,,,,,दुष्काळ,,Siccitate,,,,,
1603:45:31:8065:121742,8065_121742,,,Q121742,"/storm surge || a coastal flood or tsunami-like phenomenon of rising water commonly associated with low-pressure weather systems, such as cyclones/@eng-Latn",SS,,,,,Q121742,عرام العواصف,,,штормовой прилив,,,,폭풍해일,,,,,,ระดับน้ำสูงขึ้นโดยพายุ,,风暴潮,maré de tempestade,storm surge,onde de tempête,stormvloed,Sturmflut,marejada ciclónica,onda di tempesta,Borradh stoirme,stormflod,,,,Myrskyvuoksi,,,maror ciclònica,штормовий приплив,,,Dulok,stormflo,bouřlivý příliv,stormflod,高潮,Stormflod,,pusuan ribut,خیزاب,Vihardagály,,,,,ŝtorminundo,,,,Fırtına dalgası,Stormfloot,,,,,,,,,,,,,,Áhlaðandi,,,,,,,,,,,,,,,,,,,风暴潮,,,,,,,,,,,,,,Stoarmfloed,,,,,,,,,,,,,,,,,,,
1603:45:31:8065:167903,8065_167903,,,Q167903,"/landslide || type of natural disasters involving ground movements, often caused by slope instability triggered by specific event/@eng-Latn",LS,concept7822,,,,Q167903,انهيار,Սողանքներ,ভূমিধস,оползень,भूस्खलन,,ಭೂಕುಸಿತ,산사태,山崩,מפולת,,நிலச்சரிவு,,,,山崩,deslizamento de terra,landslide,glissement de terrain,aardverschuiving,Erdrutsch,deslizamiento de tierra,frana,Sciorradh talún,jordskred,,,Osuwisko,maanvyöry,Alunecare de teren,Đất trượt,esllavissada,зсув ґрунту,Свлачище,Zemeljski plaz,Pagparik,jordskred,sesuv,jordskred,地滑り,jordras,മണ്ണിടിച്ചിൽ,tanah longsor,سنگریزش,földcsuszamlás,Luizi,tirlithriad,,Zosuv svahu,terglito,tanah runtuh,maalihe,Klizište,heyelan,,,,,,,,,,Torrocata,山崩,,,,Berghlaup,,,,,,,,,,odron,,,,,,,,,山体滑坡,одрон,ہبوط ارض,,Nuošliauža,,Klizište,zemes nogruvums,Klizište,,,,κατολίσθηση,Urug,Ierdferskowing,,,,апоўзень,,,,,,,,भूस्खलन,,,,,,,
