Codicem,/Educated guess on comprehensibility (1-100) of concept/,/Educated guess on stability (1-100) of local identifier if dictionary still in use in a century/,Numerordinatio,//Cōdex annotātiōnibus internālibus//,Regex,Wikidata QID,/Wiki P/,/Wiki P/; meta,Multiple languages,"Multiple languages, meta",Trivia,"IRI to book, if any","IRI to book, if any, meta",Cōdex factō,Cōdex factō; meta
#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_n1603,#item+rem+i_qcc+is_zxxx+ix_n1603ia,#item+rem+i_qcc+is_zxxx+ix_regex,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_wikip,#meta+rem+i_qcc+is_zxxx+ix_wikip,#item+rem+i_mul+is_zyyy,#meta+rem+i_mul+is_zyyy,#item+rem+i_mul+is_zyyy+ix_trivium,#item+rem+i_mul+is_zyyy+ix_trivium+ix_iri,#meta+rem+i_mul+is_zyyy+ix_trivium+ix_iri,#item+rem+i_qcc+is_zxxx+ix_codexfacto,#meta+rem+i_qcc+is_zxxx+ix_codexfacto
45_16_906,20,20,1679:45:16:906,,,,,,[private use] Entire world public P-Codes A.6,,,,,,
45_16_916,20,20,1679:45:16:916,,,,,,[meta] UN OCHA P-Code *WITHOUT* ISO 3166-1 prefix,,,,,,
45_16_921,20,20,1679:45:16:921,,,,,,"[private use] Entire world public P-Codes A.0 + A1, +A.2 + A.3 + A.4 + A5 + A.6 (> 430000)",,[921] (0 + 1 + 2 + 3 + 4 + 5 + 6 + 900),,,,
47,50,50,1679:47,,,Q1334738,,,Normās interindustriās,https://www.wikidata.org/wiki/Q1334738,[1947-02-23] ISO,,,,
63,50,50,1679:63,,,,,,//Librārium hūmānitātī strictae//,[63] Motus internationalis Crucis Rubrae et Lunae Rubrae 1863; 1863 - 1800 = 63,,,,,
64,20,20,1679:64,,,,,,/Dictiōnāria dē aquīs et aliae/,"[604] puquios: aquae ductus in Peruvia, UN m49 604; 604 - 540 = 64",,,,,
84,70,70,1679:84,,,,,,Dentālis scientiae,,,,,,
87,9,9,1679:87,,,,,,[Non-publicum] Unicode; suggested base namespace for related queries,,[1987] Unicode,,,,
99,10,10,1679:99,,,,,,/Temporary public numeric namespace/@eng-Latn,,,,,,
999999,11,11,1679:999999,,,,,,Data temporāriīs,,,,,,
999999999,11,11,1679:999999999,,,,,,/Non data files (used for software which generate data)/,,,,,,
