#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm3+code+v_numerodinatio,#adm3+name+i_spa+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_spa+is_latn,#adm3+name+alt2+i_spa+is_latn,#adm2+name+i_spa+is_latn,#adm2+code+v_pcode,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:68:3:10703,10703,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:107,1603:45:16:68:3:10703,Incahuasi,BO010703,,,,Nor Cinti,BO0107,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:10704,10704,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:107,1603:45:16:68:3:10704,Villa Charcas,BO010704,,,,Nor Cinti,BO0107,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:10801,10801,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:108,1603:45:16:68:3:10801,Villa Serrano,BO010801,,,,Belisario Boeto,BO0108,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:10901,10901,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:109,1603:45:16:68:3:10901,Villa Abecia,BO010901,,,,Sur Cinti,BO0109,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:10902,10902,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:109,1603:45:16:68:3:10902,Culpina,BO010902,,,,Sur Cinti,BO0109,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:10903,10903,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:109,1603:45:16:68:3:10903,Las Carreras,BO010903,,,,Sur Cinti,BO0109,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:11001,11001,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:110,1603:45:16:68:3:11001,Villa Vaca Guzmán,BO011001,Villa Vaca Guzman,,,Luis Calvo,BO0110,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:11002,11002,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:110,1603:45:16:68:3:11002,Huacaya,BO011002,,,,Luis Calvo,BO0110,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:11003,11003,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:110,1603:45:16:68:3:11003,Macharetí,BO011003,Machareti,,,Luis Calvo,BO0110,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20101,20101,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:201,1603:45:16:68:3:20101,Nuestra Señora de La Paz,BO020101,Nuestra Senora de La Paz,,,Murillo,BO0201,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20102,20102,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:201,1603:45:16:68:3:20102,Palca,BO020102,,,,Murillo,BO0201,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20103,20103,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:201,1603:45:16:68:3:20103,Mecapaca,BO020103,,,,Murillo,BO0201,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20104,20104,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:201,1603:45:16:68:3:20104,Achocalla,BO020104,,,,Murillo,BO0201,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20105,20105,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:201,1603:45:16:68:3:20105,El Alto,BO020105,,,,Murillo,BO0201,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20201,20201,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:202,1603:45:16:68:3:20201,Achacachi,BO020201,,,,Omasuyos,BO0202,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20202,20202,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:202,1603:45:16:68:3:20202,Villa Ancoraimes,BO020202,,,,Omasuyos,BO0202,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20203,20203,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:202,1603:45:16:68:3:20203,Huarina,BO020203,,,,Omasuyos,BO0202,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20204,20204,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:202,1603:45:16:68:3:20204,Santiago de Huata,BO020204,,,,Omasuyos,BO0202,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20205,20205,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:202,1603:45:16:68:3:20205,Huatajata,BO020205,,,,Omasuyos,BO0202,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
