#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:776:2:11,11,1603:45:16:776:0,1603:45:16:776:1:1,1603:45:16:776:2:11,Kolofo'ou,TO11,,,,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:12,12,1603:45:16:776:0,1603:45:16:776:1:1,1603:45:16:776:2:12,Kolomotu'a,TO12,,,,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:13,13,1603:45:16:776:0,1603:45:16:776:1:1,1603:45:16:776:2:13,Vaini,TO13,,,,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:14,14,1603:45:16:776:0,1603:45:16:776:1:1,1603:45:16:776:2:14,Tatakamotonga,TO14,,,,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:15,15,1603:45:16:776:0,1603:45:16:776:1:1,1603:45:16:776:2:15,Lapaha,TO15,,,,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:16,16,1603:45:16:776:0,1603:45:16:776:1:1,1603:45:16:776:2:16,Nukunuku,TO16,,,,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:17,17,1603:45:16:776:0,1603:45:16:776:1:1,1603:45:16:776:2:17,Kolovai,TO17,,,,Tongatapu,TO1,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:21,21,1603:45:16:776:0,1603:45:16:776:1:2,1603:45:16:776:2:21,Neiafu,TO21,,,,Vava'u,TO2,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:22,22,1603:45:16:776:0,1603:45:16:776:1:2,1603:45:16:776:2:22,Pangaimotu,TO22,,,,Vava'u,TO2,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
1603:45:16:776:2:23,23,1603:45:16:776:0,1603:45:16:776:1:2,1603:45:16:776:2:23,Hahake,TO23,,,,Vava'u,TO2,Kingdom of Tonga,TO,2018-02-05,2022-01-26,
