#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm3+name+i_eng+is_latn,#adm3+name+i_tha+is_thai,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm3+name+alt1+i_tha+is_thai,#adm3+name+alt2+i_tha+is_thai,#adm2+name+i_eng+is_latn,#adm2+name+i_tha+is_thai,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+name+i_tha+is_thai,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_tha+is_thai,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:764:3:100101,100101,Phraborom Maharatchawang,พระบรมมหาราชวัง,TH100101,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100102,100102,Wang Burapha Phirom,วังบูรพาภิรมย์,TH100102,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100103,100103,Wat Ratchabophit,วัดราชบพิธ,TH100103,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100104,100104,Samran Rat,สำราญราษฎร์,TH100104,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100105,100105,San Chaopho Suea,ศาลเจ้าพ่อเสือ,TH100105,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100106,100106,Sao Chingcha,เสาชิงช้า,TH100106,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100107,100107,Bowon Niwet,บวรนิเวศ,TH100107,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100108,100108,Talat Yot,ตลาดยอด,TH100108,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100109,100109,Chana Songkhram,ชนะสงคราม,TH100109,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100110,100110,Ban Phan Thom,บ้านพานถม,TH100110,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100111,100111,Bang Khun Phrom,บางขุนพรหม,TH100111,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100112,100112,Wat Sam Phraya,วัดสามพระยา,TH100112,,,,,,Phra Nakhon,พระนคร,TH1001,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100201,100201,Dusit,ดุสิต,TH100201,,,,,,Dusit,ดุสิต,TH1002,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100202,100202,Wachira Phayaban,วชิรพยาบาล,TH100202,,,,,,Dusit,ดุสิต,TH1002,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100203,100203,Suan Chitlada,สวนจิตรลดา,TH100203,,,,,,Dusit,ดุสิต,TH1002,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100204,100204,Si Yaek Mahanak,สี่แยกมหานาค,TH100204,,,,,,Dusit,ดุสิต,TH1002,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100206,100206,Thanon Nakhon Chaisi,ถนนนครไชยศรี,TH100206,,,,,,Dusit,ดุสิต,TH1002,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100301,100301,Krathum Rai,กระทุ่มราย,TH100301,,,,,,Nong Chok,หนองจอก,TH1003,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100302,100302,Nong Chok,หนองจอก,TH100302,,,,,,Nong Chok,หนองจอก,TH1003,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100303,100303,Khlong Sip,คลองสิบ,TH100303,,,,,,Nong Chok,หนองจอก,TH1003,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100304,100304,Khlong Sip Song,คลองสิบสอง,TH100304,,,,,,Nong Chok,หนองจอก,TH1003,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:3:100305,100305,Khok Faet,โคกแฝด,TH100305,,,,,,Nong Chok,หนองจอก,TH1003,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
