#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+ERROR+adm1+code+v_pcode,#meta+ERROR+adm1+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:484:1:1,1,1603:45:16:484:0,1603:45:16:484:1:1,Aguascalientes,MX01,,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:2,2,1603:45:16:484:0,1603:45:16:484:1:2,Baja California,MX02,,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:3,3,1603:45:16:484:0,1603:45:16:484:1:3,Baja California Sur,MX03,,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:4,4,1603:45:16:484:0,1603:45:16:484:1:4,Campeche,MX04,,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:5,5,1603:45:16:484:0,1603:45:16:484:1:5,Coahuila de Zaragoza,MX05,,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:6,6,1603:45:16:484:0,1603:45:16:484:1:6,Colima,MX06,,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:7,7,1603:45:16:484:0,1603:45:16:484:1:7,Chiapas,MX07,,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:8,8,1603:45:16:484:0,1603:45:16:484:1:8,Chihuahua,MX08,,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:9,9,1603:45:16:484:0,1603:45:16:484:1:9,Distrito Federal,MX09,,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:10,10,1603:45:16:484:0,1603:45:16:484:1:10,Durango,MX10,,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:11,11,1603:45:16:484:0,1603:45:16:484:1:11,Guanajuato,MX11,,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:12,12,1603:45:16:484:0,1603:45:16:484:1:12,Guerrero,MX12,,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:13,13,1603:45:16:484:0,1603:45:16:484:1:13,Hidalgo,MX13,,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:14,14,1603:45:16:484:0,1603:45:16:484:1:14,Jalisco,MX14,,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:15,15,1603:45:16:484:0,1603:45:16:484:1:15,México,MX15,Mexico,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:16,16,1603:45:16:484:0,1603:45:16:484:1:16,Michoacán de Ocampo,MX16,Michoacan de Ocampo,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:17,17,1603:45:16:484:0,1603:45:16:484:1:17,Morelos,MX17,,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:18,18,1603:45:16:484:0,1603:45:16:484:1:18,Nayarit,MX18,,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:19,19,1603:45:16:484:0,1603:45:16:484:1:19,Nuevo León,MX19,Nuevo Leon,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:20,20,1603:45:16:484:0,1603:45:16:484:1:20,Oaxaca,MX20,,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:21,21,1603:45:16:484:0,1603:45:16:484:1:21,Puebla,MX21,,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:22,22,1603:45:16:484:0,1603:45:16:484:1:22,Querétaro de Arteaga,MX22,Queretaro de Arteaga,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:23,23,1603:45:16:484:0,1603:45:16:484:1:23,Quintana Roo,MX23,,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:24,24,1603:45:16:484:0,1603:45:16:484:1:24,San Luis Potosí,MX24,San Luis Potosi,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:25,25,1603:45:16:484:0,1603:45:16:484:1:25,Sinaloa,MX25,,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:26,26,1603:45:16:484:0,1603:45:16:484:1:26,Sonora,MX26,,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:27,27,1603:45:16:484:0,1603:45:16:484:1:27,Tabasco,MX27,,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:28,28,1603:45:16:484:0,1603:45:16:484:1:28,Tamaulipas,MX28,,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:29,29,1603:45:16:484:0,1603:45:16:484:1:29,Tlaxcala,MX29,,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:30,30,1603:45:16:484:0,1603:45:16:484:1:30,Veracruz de Ignacio de la Llave,MX30,,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:31,31,1603:45:16:484:0,1603:45:16:484:1:31,Yucatán,MX31,Yucatan,,,México,MX,2020-06-23,2021-06-23,
1603:45:16:484:1:32,32,1603:45:16:484:0,1603:45:16:484:1:32,Zacatecas,MX32,,,,México,MX,2020-06-23,2021-06-23,
