#adm2+name+i_en,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Gedeo,ET0705,,,,SNNP,ET07,Ethiopia,ET,2020-10-13,2021-12-16,
Wolayita,ET0706,,,,SNNP,ET07,Ethiopia,ET,2020-10-13,2021-12-16,
South Omo,ET0707,,,,SNNP,ET07,Ethiopia,ET,2020-10-13,2021-12-16,
Gamo,ET0710,,,,SNNP,ET07,Ethiopia,ET,2020-10-13,2021-12-16,
Alle,ET0712,,,,SNNP,ET07,Ethiopia,ET,2020-10-13,2021-12-16,
Konso,ET0713,,,,SNNP,ET07,Ethiopia,ET,2020-10-13,2021-12-16,
Halaba,ET0714,,,,SNNP,ET07,Ethiopia,ET,2020-10-13,2021-12-16,
Gofa,ET0715,,,,SNNP,ET07,Ethiopia,ET,2020-10-13,2021-12-16,
Basketo,ET0716,,,,SNNP,ET07,Ethiopia,ET,2020-10-13,2021-12-16,
Siltie,ET0720,,,,SNNP,ET07,Ethiopia,ET,2020-10-13,2021-12-16,
Amaro,ET0721,,,,SNNP,ET07,Ethiopia,ET,2020-10-13,2021-12-16,
Burji,ET0722,,,,SNNP,ET07,Ethiopia,ET,2020-10-13,2021-12-16,
Derashe,ET0723,,,,SNNP,ET07,Ethiopia,ET,2020-10-13,2021-12-16,
Yem Special,ET0724,,,,SNNP,ET07,Ethiopia,ET,2020-10-13,2021-12-16,
Sheka,ET1101,,,,South West Ethiopia,ET11,Ethiopia,ET,2020-10-13,2021-12-16,
Kefa,ET1102,,,,South West Ethiopia,ET11,Ethiopia,ET,2020-10-13,2021-12-16,
Bench Sheko,ET1103,,,,South West Ethiopia,ET11,Ethiopia,ET,2020-10-13,2021-12-16,
Dawuro,ET1104,,,,South West Ethiopia,ET11,Ethiopia,ET,2020-10-13,2021-12-16,
Mirab Omo,ET1105,,,,South West Ethiopia,ET11,Ethiopia,ET,2020-10-13,2021-12-16,
Konta Special,ET1106,,,,South West Ethiopia,ET11,Ethiopia,ET,2020-10-13,2021-12-16,
Nuwer,ET1201,,,,Gambela,ET12,Ethiopia,ET,2020-10-13,2021-12-16,
Agnewak,ET1202,,,,Gambela,ET12,Ethiopia,ET,2020-10-13,2021-12-16,
Majang,ET1203,,,,Gambela,ET12,Ethiopia,ET,2020-10-13,2021-12-16,
Itang Special woreda,ET1204,,,,Gambela,ET12,Ethiopia,ET,2020-10-13,2021-12-16,
Harari,ET1301,,,,Harari,ET13,Ethiopia,ET,2020-10-13,2021-12-16,
Region 14,ET1401,,,,Addis Ababa,ET14,Ethiopia,ET,2020-10-13,2021-12-16,
Dire Dawa urban,ET1501,,,,Dire Dawa,ET15,Ethiopia,ET,2020-10-13,2021-12-16,
Dire Dawa rural,ET1502,,,,Dire Dawa,ET15,Ethiopia,ET,2020-10-13,2021-12-16,
Sidama,ET1600,,,,Sidama,ET16,Ethiopia,ET,2020-10-13,2021-12-16,
