#adm2+name+i_fr,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fr,#adm2+name+alt2+i_fr,#adm1+name+i_fr,#adm1+code+v_pcode,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Bafoulabe,ML0101,,,,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Diéma,ML0102,Diema,,,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Kayes,ML0103,,,,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Kéniéba,ML0104,Kenieba,,,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Kita,ML0105,,,,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Nioro,ML0106,,,,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Yélimané,ML0107,Yelimane,,,Kayes,ML01,Mali (le),ML,2013-05-31,2019-08-02,
Banamba,ML0201,,,,Koulikoro,ML02,Mali (le),ML,2013-05-31,2019-08-02,
Dioila,ML0202,,,,Koulikoro,ML02,Mali (le),ML,2013-05-31,2019-08-02,
Kangaba,ML0203,,,,Koulikoro,ML02,Mali (le),ML,2013-05-31,2019-08-02,
Kati,ML0204,,,,Koulikoro,ML02,Mali (le),ML,2013-05-31,2019-08-02,
Kolokani,ML0205,,,,Koulikoro,ML02,Mali (le),ML,2013-05-31,2019-08-02,
Koulikoro,ML0206,,,,Koulikoro,ML02,Mali (le),ML,2013-05-31,2019-08-02,
Nara,ML0207,,,,Koulikoro,ML02,Mali (le),ML,2013-05-31,2019-08-02,
Bougouni,ML0301,,,,Sikasso,ML03,Mali (le),ML,2013-05-31,2019-08-02,
Kadiolo,ML0302,,,,Sikasso,ML03,Mali (le),ML,2013-05-31,2019-08-02,
Kolondieba,ML0303,,,,Sikasso,ML03,Mali (le),ML,2013-05-31,2019-08-02,
Koutiala,ML0304,,,,Sikasso,ML03,Mali (le),ML,2013-05-31,2019-08-02,
Sikasso,ML0305,,,,Sikasso,ML03,Mali (le),ML,2013-05-31,2019-08-02,
Yanfolila,ML0306,,,,Sikasso,ML03,Mali (le),ML,2013-05-31,2019-08-02,
Yorosso,ML0307,,,,Sikasso,ML03,Mali (le),ML,2013-05-31,2019-08-02,
Baraouéli,ML0401,Baraoueli,,,Ségou,ML04,Mali (le),ML,2013-05-31,2019-08-02,
Bla,ML0402,,,,Ségou,ML04,Mali (le),ML,2013-05-31,2019-08-02,
Macina,ML0403,,,,Ségou,ML04,Mali (le),ML,2013-05-31,2019-08-02,
Niono,ML0404,,,,Ségou,ML04,Mali (le),ML,2013-05-31,2019-08-02,
San,ML0405,,,,Ségou,ML04,Mali (le),ML,2013-05-31,2019-08-02,
Ségou,ML0406,Segou,,,Ségou,ML04,Mali (le),ML,2013-05-31,2019-08-02,
Tominian,ML0407,,,,Ségou,ML04,Mali (le),ML,2013-05-31,2019-08-02,
Bandiagara,ML0501,,,,Mopti,ML05,Mali (le),ML,2013-05-31,2019-08-02,
Bankass,ML0502,,,,Mopti,ML05,Mali (le),ML,2013-05-31,2019-08-02,
Djenné,ML0503,Djenne,,,Mopti,ML05,Mali (le),ML,2013-05-31,2019-08-02,
Douentza,ML0504,,,,Mopti,ML05,Mali (le),ML,2013-05-31,2019-08-02,
Koro,ML0505,,,,Mopti,ML05,Mali (le),ML,2013-05-31,2019-08-02,
Mopti,ML0506,,,,Mopti,ML05,Mali (le),ML,2013-05-31,2019-08-02,
Ténenkou,ML0507,Tenenkou,,,Mopti,ML05,Mali (le),ML,2013-05-31,2019-08-02,
Youwarou,ML0508,,,,Mopti,ML05,Mali (le),ML,2013-05-31,2019-08-02,
Diré,ML0601,Dire,,,Tombouctou,ML06,Mali (le),ML,2013-05-31,2019-08-02,
Goundam,ML0602,,,,Tombouctou,ML06,Mali (le),ML,2013-05-31,2019-08-02,
Gourma-Rharous,ML0603,,,,Tombouctou,ML06,Mali (le),ML,2013-05-31,2019-08-02,
Niafunké,ML0604,Niafunke,,,Tombouctou,ML06,Mali (le),ML,2013-05-31,2019-08-02,
Tombouctou,ML0605,,,,Tombouctou,ML06,Mali (le),ML,2013-05-31,2019-08-02,
Ansongo,ML0701,,,,Gao,ML07,Mali (le),ML,2013-05-31,2019-08-02,
Bourem,ML0702,,,,Gao,ML07,Mali (le),ML,2013-05-31,2019-08-02,
Gao,ML0703,,,,Gao,ML07,Mali (le),ML,2013-05-31,2019-08-02,
Ménaka,ML0704,Menaka,,,Gao,ML07,Mali (le),ML,2013-05-31,2019-08-02,
Abeibara,ML0801,,,,Kidal,ML08,Mali (le),ML,2013-05-31,2019-08-02,
Kidal,ML0802,,,,Kidal,ML08,Mali (le),ML,2013-05-31,2019-08-02,
Tessalit,ML0803,,,,Kidal,ML08,Mali (le),ML,2013-05-31,2019-08-02,
Tin-Essako,ML0804,,,,Kidal,ML08,Mali (le),ML,2013-05-31,2019-08-02,
Bamako,ML0901,,,,Bamako,ML09,Mali (le),ML,2013-05-31,2019-08-02,
