#adm2+name+i_es,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_es,#adm2+name+alt2+i_es,#adm1+name+i_es,#adm1+code+v_pcode,#country+name+i_es,#country+code+v_iso2,#date+start,#date+updated,#date+end
Litoral,BO0405,,,,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Poopó,BO0406,Poopo,,,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Pantaleón Dalence,BO0407,Pantaleon Dalence,,,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Ladislao Cabrera,BO0408,,,,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Sabaya,BO0409,,,,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Saucarí,BO0410,Saucari,,,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Tomás Barrón,BO0411,Tomas Barron,,,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Sur Carangas,BO0412,,,,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
San Pedro de Totora,BO0413,,,,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Sebastián Pagador,BO0414,Sebastian Pagador,,,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Mejillones,BO0415,,,,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Nor Carangas,BO0416,,,,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Tomás Frías,BO0501,Tomas Frias,,,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Rafael Bustillo,BO0502,,,,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Cornelio Saavedra,BO0503,,,,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Chayanta,BO0504,,,,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Chárcas,BO0505,Charcas,,,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Nor Chichas,BO0506,,,,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Alonso de Ibáñez,BO0507,Alonso de Ibanez,,,Potosí,BO05,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
