#adm2+name+i_es,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_es,#adm2+name+alt2+i_es,#adm1+name+i_es,#adm1+code+v_pcode,#country+name+i_es,#country+code+v_iso2,#date+start,#date+updated,#date+end
Bocas del Toro,PA0101,,,,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
Changuinola,PA0102,,,,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
Chiriquí Grande,PA0103,Chiriqui Grande,,,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
Alanje,PA0201,,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
Barú,PA0202,Baru,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
Boquerón,PA0203,Boqueron,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
Boquete,PA0204,,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
Bugaba,PA0205,,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
David,PA0206,,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
Dolega,PA0207,,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
Gualaca,PA0208,,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
Remedios,PA0209,,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
Renacimiento,PA0210,,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
San Félix,PA0211,San Felix,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
San Lorenzo,PA0212,,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
Tolé,PA0213,Tole,,,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
Aguadulce,PA0301,,,,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
Antón,PA0302,Anton,,,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
La Pintada,PA0303,,,,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
Natá,PA0304,Nata,,,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
Olá,PA0305,Ola,,,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
Penonomé,PA0306,Penonome,,,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
Chagres,PA0401,,,,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
Colón,PA0402,Colon,,,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
Donoso,PA0403,,,,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
Portobelo,PA0404,,,,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
Santa Isabel,PA0405,,,,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
Chepigana,PA0501,,,,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
Pinogana,PA0502,,,,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
Cémaco,PA0601,Cemaco,,,Emberá,PA06,Panamá,PA,2020-06-15,2021-10-27,
