#adm2+name+i_es,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_es,#adm2+name+alt2+i_es,#adm1+name+i_es,#adm1+code+v_pcode,#country+name+i_es,#country+code+v_iso2,#date+start,#date+updated,#date+end
Iquique,CL011,,,,Región de Tarapacá,CL01,Chile,CL,2021-08-03,2021-11-13,
Tamarugal,CL014,,,,Región de Tarapacá,CL01,Chile,CL,2021-08-03,2021-11-13,
Antofagasta,CL021,,,,Región de Antofagasta,CL02,Chile,CL,2021-08-03,2021-11-13,
El Loa,CL022,,,,Región de Antofagasta,CL02,Chile,CL,2021-08-03,2021-11-13,
Tocopilla,CL023,,,,Región de Antofagasta,CL02,Chile,CL,2021-08-03,2021-11-13,
Copiapó,CL031,Copiapo,,,Región de Atacama,CL03,Chile,CL,2021-08-03,2021-11-13,
Chañaral,CL032,Chanaral,,,Región de Atacama,CL03,Chile,CL,2021-08-03,2021-11-13,
Huasco,CL033,,,,Región de Atacama,CL03,Chile,CL,2021-08-03,2021-11-13,
Elqui,CL041,,,,Región de Coquimbo,CL04,Chile,CL,2021-08-03,2021-11-13,
Choapa,CL042,,,,Región de Coquimbo,CL04,Chile,CL,2021-08-03,2021-11-13,
Limarí,CL043,Limari,,,Región de Coquimbo,CL04,Chile,CL,2021-08-03,2021-11-13,
Valparaíso,CL051,Valparaiso,,,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
Isla de Pascua,CL052,,,,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
Los Andes,CL053,,,,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
Petorca,CL054,,,,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
Quillota,CL055,,,,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
San Antonio,CL056,,,,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
San Felipe,CL057,,,,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
Marga Marga,CL058,,,,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
Cachapoal,CL061,,,,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
Cardenal Caro,CL062,,,,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
Colchagua,CL063,,,,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
Talca,CL071,,,,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
Cauquenes,CL072,,,,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
Curicó,CL073,Curico,,,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
Linares,CL074,,,,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
Concepción,CL081,Concepcion,,,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
Arauco,CL082,,,,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
Bío-Bío,CL083,Bio-Bio,,,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
Cautín,CL091,Cautin,,,Región de La Araucanía,CL09,Chile,CL,2021-08-03,2021-11-13,
Malleco,CL092,,,,Región de La Araucanía,CL09,Chile,CL,2021-08-03,2021-11-13,
Llanquihue,CL101,,,,Región de Los Lagos,CL10,Chile,CL,2021-08-03,2021-11-13,
Chiloe,CL102,,,,Región de Los Lagos,CL10,Chile,CL,2021-08-03,2021-11-13,
Osorno,CL103,,,,Región de Los Lagos,CL10,Chile,CL,2021-08-03,2021-11-13,
Palena,CL104,,,,Región de Los Lagos,CL10,Chile,CL,2021-08-03,2021-11-13,
Coyhaique,CL111,,,,Región de Aysén del Gral. Ibañez del Campo,CL11,Chile,CL,2021-08-03,2021-11-13,
Aysén,CL112,Aysen,,,Región de Aysén del Gral. Ibañez del Campo,CL11,Chile,CL,2021-08-03,2021-11-13,
Capitán Prat,CL113,Capitan Prat,,,Región de Aysén del Gral. Ibañez del Campo,CL11,Chile,CL,2021-08-03,2021-11-13,
General Carrera,CL114,,,,Región de Aysén del Gral. Ibañez del Campo,CL11,Chile,CL,2021-08-03,2021-11-13,
Magallanes,CL121,,,,Región de Magallanes y Antártica Chilena,CL12,Chile,CL,2021-08-03,2021-11-13,
Antártica Chilena,CL122,Antartica Chilena,,,Región de Magallanes y Antártica Chilena,CL12,Chile,CL,2021-08-03,2021-11-13,
