admin0Name_fr,admin0Pcode,admin0RefName,admin0AltName1_fr,admin0AltName2_fr,date,validOn,validTo
#adm0+name+i_fr,#adm0+code+pcode,,#adm0+name+i_fr,#adm0+name+i_fr,#date,#date+valid_on,#date+valid_to
Mali (le),ML,,,,2013-05-31,2019-08-02,
