#adm1+name+i_en,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Bumthang,BT001,,,,Bhutan,BT,2019-02-01,2020-10-30,
Chhukha,BT002,,,,Bhutan,BT,2019-02-01,2020-10-30,
Dagana,BT003,,,,Bhutan,BT,2019-02-01,2020-10-30,
Gasa,BT004,,,,Bhutan,BT,2019-02-01,2020-10-30,
Haa,BT005,,,,Bhutan,BT,2019-02-01,2020-10-30,
Lhuentse,BT006,,,,Bhutan,BT,2019-02-01,2020-10-30,
Monggar,BT007,,,,Bhutan,BT,2019-02-01,2020-10-30,
Paro,BT008,,,,Bhutan,BT,2019-02-01,2020-10-30,
Pemagatshel,BT009,,,,Bhutan,BT,2019-02-01,2020-10-30,
Punakha,BT010,,,,Bhutan,BT,2019-02-01,2020-10-30,
Samdrupjongkhar,BT011,,,,Bhutan,BT,2019-02-01,2020-10-30,
Samtse,BT012,,,,Bhutan,BT,2019-02-01,2020-10-30,
Sarpang,BT013,,,,Bhutan,BT,2019-02-01,2020-10-30,
Thimphu,BT014,,,,Bhutan,BT,2019-02-01,2020-10-30,
Trashigang,BT015,,,,Bhutan,BT,2019-02-01,2020-10-30,
Yangtse,BT016,,,,Bhutan,BT,2019-02-01,2020-10-30,
Trongsa,BT017,,,,Bhutan,BT,2019-02-01,2020-10-30,
Tsirang,BT018,,,,Bhutan,BT,2019-02-01,2020-10-30,
Wangduephodrang,BT019,,,,Bhutan,BT,2019-02-01,2020-10-30,
Zhemgang,BT020,,,,Bhutan,BT,2019-02-01,2020-10-30,
