#adm4+name+i_en,#adm4+code+v_pcode,#adm4+name,#adm4+name+alt1+i_en,#adm4+name+alt2+i_en,#adm3+name+i_en,#adm3+code+v_pcode,#adm2+name+i_en,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Amtali,BD10040913,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Arpangashia,BD10040915,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Atharagashia,BD10040923,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Barabagi,BD10040939,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Chhota Bagi,BD10040943,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Chowra,BD10040947,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Gulisakhali,BD10040963,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Haldia,BD10040971,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Karaibaria,BD10040979,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Kukua,BD10040987,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Nishanbaria,BD10040991,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Pancha Koralia,BD10040994,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Sarikkhali,BD10040995,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Sonakata,BD10040996,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Paurashava,BD10040999,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Bamna,BD10041923,,,,Bamna,BD100419,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Bukabunia,BD10041947,,,,Bamna,BD100419,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Dauatala,BD10041971,,,,Bamna,BD100419,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Ramna,BD10041995,,,,Bamna,BD100419,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Ayla Patakata,BD10042817,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Badarkhali,BD10042819,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Barguna,BD10042828,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Burir Char,BD10042838,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Dhalua,BD10042847,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Phuljhury,BD10042857,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Gaurichanna,BD10042866,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Keorabunia,BD10042876,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
M.Baliatali,BD10042885,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Naltona,BD10042895,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Paurashava,BD10042899,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Betagi,BD10044711,,,,Betagi,BD100447,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
Bibichini,BD10044723,,,,Betagi,BD100447,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
