#adm3+name+i_en,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm2+name+i_en,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Teupah Selatan,ID1101010,,,,Simeulue,ID1101,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
Simeulue Timur,ID1101020,,,,Simeulue,ID1101,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
Teupah Barat,ID1101021,,,,Simeulue,ID1101,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
Teupah Tengah,ID1101022,,,,Simeulue,ID1101,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
Simeulue Tengah,ID1101030,,,,Simeulue,ID1101,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
Teluk Dalam,ID1101031,,,,Simeulue,ID1101,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
Simeulue Cut,ID1101032,,,,Simeulue,ID1101,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
Salang,ID1101040,,,,Simeulue,ID1101,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
Simeulue Barat,ID1101050,,,,Simeulue,ID1101,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
Alafan,ID1101051,,,,Simeulue,ID1101,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
Pulau Banyak,ID1102010,,,,Aceh Singkil,ID1102,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
Pulau Banyak Barat,ID1102011,,,,Aceh Singkil,ID1102,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
Singkil,ID1102020,,,,Aceh Singkil,ID1102,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
Singkil Utara,ID1102021,,,,Aceh Singkil,ID1102,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
Kuala Baru,ID1102022,,,,Aceh Singkil,ID1102,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
Simpang Kanan,ID1102030,,,,Aceh Singkil,ID1102,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
Gunung Meriah,ID1102031,,,,Aceh Singkil,ID1102,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
Danau Paris,ID1102032,,,,Aceh Singkil,ID1102,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
Suro,ID1102033,,,,Aceh Singkil,ID1102,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
Singkohor,ID1102042,,,,Aceh Singkil,ID1102,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
Kota Baharu,ID1102043,,,,Aceh Singkil,ID1102,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
Trumon,ID1103010,,,,Aceh Selatan,ID1103,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
Trumon Timur,ID1103011,,,,Aceh Selatan,ID1103,Aceh,ID11,Indonesia,ID,2020-04-08,2020-04-08,
