#adm2+name+i_en,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Banjul,GM0101,,,,Banjul,GM01,Gambia,GM,2017-08-11,2021-12-31,
Fulladu East,GM0201,,,,Basse,GM02,Gambia,GM,2017-08-11,2021-12-31,
Kantora,GM0202,,,,Basse,GM02,Gambia,GM,2017-08-11,2021-12-31,
Sandu,GM0203,,,,Basse,GM02,Gambia,GM,2017-08-11,2021-12-31,
Wuli,GM0204,,,,Basse,GM02,Gambia,GM,2017-08-11,2021-12-31,
Foni Bintang Karenai,GM0301,,,,Brikama,GM03,Gambia,GM,2017-08-11,2021-12-31,
Foni Bondali,GM0302,,,,Brikama,GM03,Gambia,GM,2017-08-11,2021-12-31,
Foni Brefet,GM0303,,,,Brikama,GM03,Gambia,GM,2017-08-11,2021-12-31,
Foni Jarrol,GM0304,,,,Brikama,GM03,Gambia,GM,2017-08-11,2021-12-31,
Foni Kansala,GM0305,,,,Brikama,GM03,Gambia,GM,2017-08-11,2021-12-31,
Kombo Central,GM0306,,,,Brikama,GM03,Gambia,GM,2017-08-11,2021-12-31,
Kombo East,GM0307,,,,Brikama,GM03,Gambia,GM,2017-08-11,2021-12-31,
Kombo North/St Marie,GM0308,,,,Brikama,GM03,Gambia,GM,2017-08-11,2021-12-31,
Kombo South,GM0309,,,,Brikama,GM03,Gambia,GM,2017-08-11,2021-12-31,
Fulladu West,GM0401,,,,Janjanbureh,GM04,Gambia,GM,2017-08-11,2021-12-31,
Janjanbureh,GM0402,,,,Janjanbureh,GM04,Gambia,GM,2017-08-11,2021-12-31,
Niamina Dankunku,GM0403,,,,Janjanbureh,GM04,Gambia,GM,2017-08-11,2021-12-31,
Niamina East,GM0404,,,,Janjanbureh,GM04,Gambia,GM,2017-08-11,2021-12-31,
Niamina West,GM0405,,,,Janjanbureh,GM04,Gambia,GM,2017-08-11,2021-12-31,
Kanifing,GM0501,,,,Kanifing,GM05,Gambia,GM,2017-08-11,2021-12-31,
Central Baddibu,GM0601,,,,Kerewan,GM06,Gambia,GM,2017-08-11,2021-12-31,
Jokadu,GM0602,,,,Kerewan,GM06,Gambia,GM,2017-08-11,2021-12-31,
Lower Baddibu,GM0603,,,,Kerewan,GM06,Gambia,GM,2017-08-11,2021-12-31,
Lower Niumi,GM0604,,,,Kerewan,GM06,Gambia,GM,2017-08-11,2021-12-31,
Upper Baddibu,GM0605,,,,Kerewan,GM06,Gambia,GM,2017-08-11,2021-12-31,
Upper Niumi,GM0606,,,,Kerewan,GM06,Gambia,GM,2017-08-11,2021-12-31,
Lower Saloum,GM0701,,,,Kuntaur,GM07,Gambia,GM,2017-08-11,2021-12-31,
Niani,GM0702,,,,Kuntaur,GM07,Gambia,GM,2017-08-11,2021-12-31,
Nianija,GM0703,,,,Kuntaur,GM07,Gambia,GM,2017-08-11,2021-12-31,
Sami,GM0704,,,,Kuntaur,GM07,Gambia,GM,2017-08-11,2021-12-31,
Upper Saloum,GM0705,,,,Kuntaur,GM07,Gambia,GM,2017-08-11,2021-12-31,
Jarra Central,GM0801,,,,Mansa Konko,GM08,Gambia,GM,2017-08-11,2021-12-31,
Jarra East,GM0802,,,,Mansa Konko,GM08,Gambia,GM,2017-08-11,2021-12-31,
Jarra West,GM0803,,,,Mansa Konko,GM08,Gambia,GM,2017-08-11,2021-12-31,
Kiang Central,GM0804,,,,Mansa Konko,GM08,Gambia,GM,2017-08-11,2021-12-31,
Kiang East,GM0805,,,,Mansa Konko,GM08,Gambia,GM,2017-08-11,2021-12-31,
Kiang West,GM0806,,,,Mansa Konko,GM08,Gambia,GM,2017-08-11,2021-12-31,
