#adm1+name+i_fr,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_fr,#adm1+name+alt2+i_fr,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
District Autonome D'Abidjan,CI01,District Autonome DAbidjan,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
District Autonome De Yamoussoukro,CI02,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Agneby-Tiassa,CI03,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Bafing,CI04,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Bagoue,CI05,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Belier,CI06,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Bere,CI07,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Bounkani,CI08,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Cavally,CI09,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Folon,CI10,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Gbeke,CI11,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Gbokle,CI12,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Goh,CI13,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Gontougo,CI14,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Grands Ponts,CI15,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Guemon,CI16,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Hambol,CI17,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Haut-Sassandra,CI18,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Iffou,CI19,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Indenie-Djuablin,CI20,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Kabadougou,CI21,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Loh-Djiboua,CI22,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Marahoue,CI23,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Me,CI24,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Moronou,CI25,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Nawa,CI26,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
N'Zi,CI27,NZi,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Poro,CI28,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
San Pedro,CI29,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Sud-Comoe,CI30,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Tchologo,CI31,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Tonkpi,CI32,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Worodougou,CI33,,,,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
