#adm1+name+i_en,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Mombasa,KE001,,,,Kenya,KE,2018-07-03,2021-09-28,
Kwale,KE002,,,,Kenya,KE,2018-07-03,2021-09-28,
Kilifi,KE003,,,,Kenya,KE,2018-07-03,2021-09-28,
Tana River,KE004,,,,Kenya,KE,2018-07-03,2021-09-28,
Lamu,KE005,,,,Kenya,KE,2018-07-03,2021-09-28,
Taita Taveta,KE006,,,,Kenya,KE,2018-07-03,2021-09-28,
Garissa,KE007,,,,Kenya,KE,2018-07-03,2021-09-28,
Wajir,KE008,,,,Kenya,KE,2018-07-03,2021-09-28,
Mandera,KE009,,,,Kenya,KE,2018-07-03,2021-09-28,
Marsabit,KE010,,,,Kenya,KE,2018-07-03,2021-09-28,
Isiolo,KE011,,,,Kenya,KE,2018-07-03,2021-09-28,
Meru,KE012,,,,Kenya,KE,2018-07-03,2021-09-28,
Tharaka-Nithi,KE013,,,,Kenya,KE,2018-07-03,2021-09-28,
Embu,KE014,,,,Kenya,KE,2018-07-03,2021-09-28,
Kitui,KE015,,,,Kenya,KE,2018-07-03,2021-09-28,
Machakos,KE016,,,,Kenya,KE,2018-07-03,2021-09-28,
Makueni,KE017,,,,Kenya,KE,2018-07-03,2021-09-28,
Nyandarua,KE018,,,,Kenya,KE,2018-07-03,2021-09-28,
Nyeri,KE019,,,,Kenya,KE,2018-07-03,2021-09-28,
Kirinyaga,KE020,,,,Kenya,KE,2018-07-03,2021-09-28,
Murang'a,KE021,Muranga,,,Kenya,KE,2018-07-03,2021-09-28,
Kiambu,KE022,,,,Kenya,KE,2018-07-03,2021-09-28,
Turkana,KE023,,,,Kenya,KE,2018-07-03,2021-09-28,
West Pokot,KE024,,,,Kenya,KE,2018-07-03,2021-09-28,
Samburu,KE025,,,,Kenya,KE,2018-07-03,2021-09-28,
Trans Nzoia,KE026,,,,Kenya,KE,2018-07-03,2021-09-28,
Uasin Gishu,KE027,,,,Kenya,KE,2018-07-03,2021-09-28,
Elgeyo-Marakwet,KE028,,,,Kenya,KE,2018-07-03,2021-09-28,
Nandi,KE029,,,,Kenya,KE,2018-07-03,2021-09-28,
Baringo,KE030,,,,Kenya,KE,2018-07-03,2021-09-28,
Laikipia,KE031,,,,Kenya,KE,2018-07-03,2021-09-28,
Nakuru,KE032,,,,Kenya,KE,2018-07-03,2021-09-28,
Narok,KE033,,,,Kenya,KE,2018-07-03,2021-09-28,
Kajiado,KE034,,,,Kenya,KE,2018-07-03,2021-09-28,
Kericho,KE035,,,,Kenya,KE,2018-07-03,2021-09-28,
Bomet,KE036,,,,Kenya,KE,2018-07-03,2021-09-28,
Kakamega,KE037,,,,Kenya,KE,2018-07-03,2021-09-28,
Vihiga,KE038,,,,Kenya,KE,2018-07-03,2021-09-28,
Bungoma,KE039,,,,Kenya,KE,2018-07-03,2021-09-28,
Busia,KE040,,,,Kenya,KE,2018-07-03,2021-09-28,
Siaya,KE041,,,,Kenya,KE,2018-07-03,2021-09-28,
Kisumu,KE042,,,,Kenya,KE,2018-07-03,2021-09-28,
Homa Bay,KE043,,,,Kenya,KE,2018-07-03,2021-09-28,
Migori,KE044,,,,Kenya,KE,2018-07-03,2021-09-28,
Kisii,KE045,,,,Kenya,KE,2018-07-03,2021-09-28,
Nyamira,KE046,,,,Kenya,KE,2018-07-03,2021-09-28,
Nairobi,KE047,,,,Kenya,KE,2018-07-03,2021-09-28,
