admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
#adm2+name+i_es,#adm2+code+pcode,,#adm2+name+i_es,#adm2+name+i_es,#adm1+name+i_es,#adm1+code+pcode,#adm0+name+i_es,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
Cuenca,EC0101,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Giron,EC0102,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Gualaceo,EC0103,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Nabon,EC0104,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Paute,EC0105,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Pucara,EC0106,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
San Fernando,EC0107,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Santa Isabel,EC0108,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Sigsig,EC0109,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Oña,EC0110,Ona,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Chordeleg,EC0111,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
El Pan,EC0112,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Sevilla de Oro,EC0113,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Guachapala,EC0114,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Camilo Ponce Enriquez,EC0115,,,,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Guaranda,EC0201,,,,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-24,
Chillanes,EC0202,,,,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-24,
Chimbo,EC0203,,,,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-24,
Echeandia,EC0204,,,,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-24,
San Miguel,EC0205,,,,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-24,
Caluma,EC0206,,,,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-24,
Las Naves,EC0207,,,,Bolivar,EC02,Ecuador (el),EC,2018-12-17,2019-07-24,
Azogues,EC0301,,,,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-24,
Biblian,EC0302,,,,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-24,
Cañar,EC0303,Canar,,,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-24,
La Troncal,EC0304,,,,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-24,
El Tambo,EC0305,,,,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-24,
Deleg,EC0306,,,,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-24,
Suscal,EC0307,,,,Cañar,EC03,Ecuador (el),EC,2018-12-17,2019-07-24,
Tulcan,EC0401,,,,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-24,
Bolivar,EC0402,,,,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-24,
Espejo,EC0403,,,,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-24,
Mira,EC0404,,,,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-24,
Montufar,EC0405,,,,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-24,
San Pedro de Huaca,EC0406,,,,Carchi,EC04,Ecuador (el),EC,2018-12-17,2019-07-24,
Latacunga,EC0501,,,,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-24,
La Mana,EC0502,,,,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-24,
Pangua,EC0503,,,,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-24,
Pujili,EC0504,,,,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-24,
Salcedo,EC0505,,,,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-24,
Saquisili,EC0506,,,,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-24,
Sigchos,EC0507,,,,Cotopaxi,EC05,Ecuador (el),EC,2018-12-17,2019-07-24,
Riobamba,EC0601,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-24,
Alausi,EC0602,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-24,
Colta,EC0603,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-24,
Chambo,EC0604,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-24,
Chunchi,EC0605,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-24,
Guamote,EC0606,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-24,
Guano,EC0607,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-24,
Pallatanga,EC0608,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-24,
Penipe,EC0609,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-24,
Cumanda,EC0610,,,,Chimborazo,EC06,Ecuador (el),EC,2018-12-17,2019-07-24,
Machala,EC0701,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-24,
Arenillas,EC0702,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-24,
Atahualpa,EC0703,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-24,
Balsas,EC0704,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-24,
Chilla,EC0705,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-24,
El Guabo,EC0706,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-24,
Huaquillas,EC0707,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-24,
Marcabeli,EC0708,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-24,
Pasaje,EC0709,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-24,
Piñas,EC0710,Pinas,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-24,
Portovelo,EC0711,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-24,
Santa Rosa,EC0712,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-24,
Zaruma,EC0713,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-24,
Las Lajas,EC0714,,,,El Oro,EC07,Ecuador (el),EC,2018-12-17,2019-07-24,
Esmeraldas,EC0801,,,,Esmeraldas,EC08,Ecuador (el),EC,2018-12-17,2019-07-24,
Eloy Alfaro,EC0802,,,,Esmeraldas,EC08,Ecuador (el),EC,2018-12-17,2019-07-24,
Muisne,EC0803,,,,Esmeraldas,EC08,Ecuador (el),EC,2018-12-17,2019-07-24,
Quininde,EC0804,,,,Esmeraldas,EC08,Ecuador (el),EC,2018-12-17,2019-07-24,
San Lorenzo,EC0805,,,,Esmeraldas,EC08,Ecuador (el),EC,2018-12-17,2019-07-24,
