#adm3+name+i_fr,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_fr,#adm3+name+alt2+i_fr,#adm2+name+i_fr,#adm2+code+v_pcode,#adm1+name+i_fr,#adm1+code+v_pcode,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Soumbé,CF3212,Soumbe,,,Bossangoa,CF321,Ouham,CF32,République centrafricaine,CF,2014-08-02,2015-06-15,
Koro-M'poko,CF3213,Koro-Mpoko,,,Bossangoa,CF321,Ouham,CF32,République centrafricaine,CF,2014-08-02,2015-06-15,
Ben Zambé,CF3214,Ben Zambe,,,Bossangoa,CF321,Ouham,CF32,République centrafricaine,CF,2014-08-02,2015-06-15,
Ouham Bac,CF3215,Ouham Bac,,,Bossangoa,CF321,Ouham,CF32,République centrafricaine,CF,2014-08-02,2015-06-15,
Ndoro Mboli,CF3216,Ndoro Mboli,,,Bossangoa,CF321,Ouham,CF32,République centrafricaine,CF,2014-08-02,2015-06-15,
Nana-Bakassa,CF3221,Nana-Bakassa,,,Nana-Bakassa,CF322,Ouham,CF32,République centrafricaine,CF,2014-08-02,2015-06-15,
Nana Markounda,CF3231,Nana Markounda,,,Markounda,CF323,Ouham,CF32,République centrafricaine,CF,2014-08-02,2015-06-15,
Nangha Boguila,CF3241,Nangha Boguila,,,Nangha Boguila,CF324,Ouham,CF32,République centrafricaine,CF,2014-08-02,2015-06-15,
Bouca Bobo,CF3251,Bouca Bobo,,,Bouca,CF325,Ouham,CF32,République centrafricaine,CF,2014-08-02,2015-06-15,
Lady Gbawi,CF3252,Lady Gbawi,,,Bouca,CF325,Ouham,CF32,République centrafricaine,CF,2014-08-02,2015-06-15,
Ouham Fafa,CF3253,Ouham Fafa,,,Bouca,CF325,Ouham,CF32,République centrafricaine,CF,2014-08-02,2015-06-15,
Fafa Boungou,CF3254,Fafa Boungou,,,Bouca,CF325,Ouham,CF32,République centrafricaine,CF,2014-08-02,2015-06-15,
Batangafo,CF3261,Batangafo,,,Batangafo,CF326,Ouham,CF32,République centrafricaine,CF,2014-08-02,2015-06-15,
Bédé,CF3262,Bede,,,Batangafo,CF326,Ouham,CF32,République centrafricaine,CF,2014-08-02,2015-06-15,
Hama,CF3263,Hama,,,Batangafo,CF326,Ouham,CF32,République centrafricaine,CF,2014-08-02,2015-06-15,
Ouassi,CF3264,Ouassi,,,Batangafo,CF326,Ouham,CF32,République centrafricaine,CF,2014-08-02,2015-06-15,
Bakassa,CF3265,Bakassa,,,Batangafo,CF326,Ouham,CF32,République centrafricaine,CF,2014-08-02,2015-06-15,
Sido,CF3271,Sido,,,Kabo,CF327,Ouham,CF32,République centrafricaine,CF,2014-08-02,2015-06-15,
Ouaki,CF3272,Ouaki,,,Kabo,CF327,Ouham,CF32,République centrafricaine,CF,2014-08-02,2015-06-15,
Sibut,CF4111,Sibut,,,Sibut,CF411,Kémo,CF41,République centrafricaine,CF,2014-08-02,2015-06-15,
Ngoumbele,CF4112,Ngoumbele,,,Sibut,CF411,Kémo,CF41,République centrafricaine,CF,2014-08-02,2015-06-15,
Dekoa,CF4121,Dekoa,,,Dékoa,CF412,Kémo,CF41,République centrafricaine,CF,2014-08-02,2015-06-15,
Tilo,CF4122,Tilo,,,Dékoa,CF412,Kémo,CF41,République centrafricaine,CF,2014-08-02,2015-06-15,
Guiffa,CF4123,Guiffa,,,Dékoa,CF412,Kémo,CF41,République centrafricaine,CF,2014-08-02,2015-06-15,
Mala,CF4131,Mala,,,Mala,CF413,Kémo,CF41,République centrafricaine,CF,2014-08-02,2015-06-15,
Galafondo,CF4141,Galafondo,,,Ndjoukou,CF414,Kémo,CF41,République centrafricaine,CF,2014-08-02,2015-06-15,
Galabadja,CF4142,Galabadja,,,Ndjoukou,CF414,Kémo,CF41,République centrafricaine,CF,2014-08-02,2015-06-15,
Kaga-Bandoro,CF4211,Kaga-Bandoro,,,Kaga-Bandoro,CF421,Nana-Gribizi,CF42,République centrafricaine,CF,2014-08-02,2015-06-15,
Botto,CF4212,Botto,,,Kaga-Bandoro,CF421,Nana-Gribizi,CF42,République centrafricaine,CF,2014-08-02,2015-06-15,
Nana-Outa,CF4213,Nana-Outa,,,Kaga-Bandoro,CF421,Nana-Gribizi,CF42,République centrafricaine,CF,2014-08-02,2015-06-15,
Grivaï-Pamia,CF4214,Grivai-Pamia,,,Kaga-Bandoro,CF421,Nana-Gribizi,CF42,République centrafricaine,CF,2014-08-02,2015-06-15,
Ndenga,CF4215,Ndenga,,,Kaga-Bandoro,CF421,Nana-Gribizi,CF42,République centrafricaine,CF,2014-08-02,2015-06-15,
Mbrés,CF4221,Mbres,,,Mbrès,CF422,Nana-Gribizi,CF42,République centrafricaine,CF,2014-08-02,2015-06-15,
Bambari,CF4311,Bambari,,,Bambari,CF431,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2015-06-15,
Danga-Gboudou,CF4312,Danga-Gboudou,,,Bambari,CF431,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2015-06-15,
Ngougbia,CF4313,Ngougbia,,,Bambari,CF431,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2015-06-15,
Pladama-Ouaka,CF4314,Pladama-Ouaka,,,Bambari,CF431,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2015-06-15,
Haute Baïdou,CF4315,Haute Baidou,,,Bambari,CF431,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2015-06-15,
Koudou-Bégo,CF4321,Koudou-Bego,,,Bakala,CF432,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2015-06-15,
Grimari,CF4331,Grimari,,,Grimari,CF433,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2015-06-15,
