#adm2+name+i_en,#adm2+name+i_ar,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm2+name+alt1+i_ar,#adm2+name+alt2+i_ar,#adm1+name+i_en,#adm1+name+i_ar,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_ar,#country+code+v_iso2,#date+start,#date+updated,#date+end
As Salam - SD,السلام - ج د,SD03166,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Nyala Janoub,نيالا جنوب,SD03167,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Damso,دمسو,SD03172,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Beida,بيضا,SD04111,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Ag Geneina,الجنينة,SD04115,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Foro Baranga,فور برنقا,SD04121,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Habila - WD,هبيلة - غ د,SD04122,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Jebel Moon,جبل مون,SD04123,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Kereneik,كرينك,SD04125,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Kulbus,كلبس,SD04127,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Sirba,سربا,SD04134,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Adila,عديلة,SD05139,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Abu Jabrah,أبو جابرة,SD05140,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Ad Du'ayn,الضعين,SD05142,Ad Duayn,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Shia'ria,شعيرية,SD05148,Shiaria,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Al Firdous,الفردوس,SD05152,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Abu Karinka,أبو كارنكا,SD05155,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Bahr Al Arab,بحر العرب,SD05160,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Assalaya,عسلاية,SD05163,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Yassin,يس,SD05165,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Azum,أزوم,SD06110,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
