#adm1+name+i_en,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Port Louis,MU11,,,,Mauritius,MU,2020-08-09,2021-09-28,
Pamplemousses,MU12,,,,Mauritius,MU,2020-08-09,2021-09-28,
Riviere du Rempart,MU13,,,,Mauritius,MU,2020-08-09,2021-09-28,
Flacq,MU14,,,,Mauritius,MU,2020-08-09,2021-09-28,
Grand Port,MU15,,,,Mauritius,MU,2020-08-09,2021-09-28,
Savanne,MU16,,,,Mauritius,MU,2020-08-09,2021-09-28,
Plaine Wilhems,MU17,,,,Mauritius,MU,2020-08-09,2021-09-28,
Moka,MU18,,,,Mauritius,MU,2020-08-09,2021-09-28,
Black River,MU19,,,,Mauritius,MU,2020-08-09,2021-09-28,
Rodriguez Island,MU21,,,,Mauritius,MU,2020-08-09,2021-09-28,
North Islands,MU22,,,,Mauritius,MU,2020-08-09,2021-09-28,
Saint Brandon Islands,MU23,,,,Mauritius,MU,2020-08-09,2021-09-28,
