admin2Name_en,admin2Name_sw,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_sw,admin2AltName2_sw,admin1Name_en,admin1Name_sw,admin1Pcode,admin0Name_en,admin0Name_sw,admin0Pcode,date,validOn,validTo
#adm2+name+i_en,#adm2+name+i_sw,#adm2+code+pcode,,#adm2+name+i_en,#adm2+name+i_en,#adm2+name+i_sw,#adm2+name+i_sw,#adm1+name+i_en,#adm1+name+i_sw,#adm1+code+pcode,#adm0+name+i_en,#adm0+name+i_sw,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
Kaskazini A,,TZ5101,,,,,,Kaskazini Unguja,,TZ51,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Kaskazini B,,TZ5102,,,,,,Kaskazini Unguja,,TZ51,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Kati,,TZ5201,,,,,,Kusini Unguja,,TZ52,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Kusini,,TZ5202,,,,,,Kusini Unguja,,TZ52,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Magharibi,,TZ5301,,,,,,Mjini Magharibi,,TZ53,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Mjini,,TZ5302,,,,,,Mjini Magharibi,,TZ53,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Wete,,TZ5401,,,,,,Kaskazini Pemba,,TZ54,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Micheweni,,TZ5402,,,,,,Kaskazini Pemba,,TZ54,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Chake Chake,,TZ5501,,,,,,Kusini Pemba,,TZ55,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
Mkoani,,TZ5502,,,,,,Kusini Pemba,,TZ55,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
