#adm3+name+i_en,#adm3+name+i_my,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt1+i_my,#adm2+name+i_en,#adm2+name+i_my,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+name+i_my,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_my,#country+code+v_iso2,#date+start,#date+updated,#date+end
Mansi,မံစီ,MM001013,,,,Bhamo,ဗန်းမော်ခရိုင်,MM001D003,Kachin,ကချင်ပြည်နယ်,MM001,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Puta-O,ပူတာအို,MM001014,,,,Puta-O,ပူတာအိုခရိုင်,MM001D004,Kachin,ကချင်ပြည်နယ်,MM001,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Sumprabum,ဆွမ်ပရာဘွမ်,MM001015,,,,Puta-O,ပူတာအိုခရိုင်,MM001D004,Kachin,ကချင်ပြည်နယ်,MM001,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Machanbaw,မချမ်းဘော,MM001016,,,,Puta-O,ပူတာအိုခရိုင်,MM001D004,Kachin,ကချင်ပြည်နယ်,MM001,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Nawngmun,နောင်မွန်း,MM001017,,,,Puta-O,ပူတာအိုခရိုင်,MM001D004,Kachin,ကချင်ပြည်နယ်,MM001,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Khaunglanhpu,ခေါင်လန်ဖူး,MM001018,,,,Puta-O,ပူတာအိုခရိုင်,MM001D004,Kachin,ကချင်ပြည်နယ်,MM001,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Loikaw,လွိုင်ကော်,MM002001,,,,Loikaw,လွိုင်ကော်ခရိုင်,MM002D001,Kayah,ကယားပြည်နယ်,MM002,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Demoso,ဒီးမော့ဆို,MM002002,,,,Loikaw,လွိုင်ကော်ခရိုင်,MM002D001,Kayah,ကယားပြည်နယ်,MM002,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Hpruso,ဖရူဆို,MM002003,,,,Loikaw,လွိုင်ကော်ခရိုင်,MM002D001,Kayah,ကယားပြည်နယ်,MM002,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Shadaw,ရှားတော,MM002004,,,,Loikaw,လွိုင်ကော်ခရိုင်,MM002D001,Kayah,ကယားပြည်နယ်,MM002,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Bawlake,ဘောလခဲ,MM002005,,,,Bawlake,ဘောလခဲခရိုင်,MM002D002,Kayah,ကယားပြည်နယ်,MM002,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Hpasawng,ဖားဆောင်း,MM002006,,,,Bawlake,ဘောလခဲခရိုင်,MM002D002,Kayah,ကယားပြည်နယ်,MM002,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Mese,မယ်စဲ,MM002007,,,,Bawlake,ဘောလခဲခရိုင်,MM002D002,Kayah,ကယားပြည်နယ်,MM002,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Hpa-An,ဘားအံ,MM003001,,,,Hpa-An,ဘားအံခရိုင်,MM003D001,Kayin,ကရင်ပြည်နယ်,MM003,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Hlaingbwe,လှိုင်းဘွဲ့,MM003002,,,,Hpa-An,ဘားအံခရိုင်,MM003D001,Kayin,ကရင်ပြည်နယ်,MM003,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Hpapun,ဖာပွန်,MM003003,,,,Hpapun,ဖာပွန်ခရိုင်,MM003D004,Kayin,ကရင်ပြည်နယ်,MM003,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Thandaunggyi,သံတောင်ကြီး,MM003004,,,,Hpa-An,ဘားအံခရိုင်,MM003D001,Kayin,ကရင်ပြည်နယ်,MM003,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Myawaddy,မြဝတီ,MM003005,,,,Myawaddy,မြဝတီခရိုင်,MM003D002,Kayin,ကရင်ပြည်နယ်,MM003,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Kawkareik,ကော့ကရိတ်,MM003006,,,,Kawkareik,ကော့ကရိတ်ခရိုင်,MM003D003,Kayin,ကရင်ပြည်နယ်,MM003,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Kyainseikgyi,ကြာအင်းဆိပ်ကြီး,MM003007,,,,Kawkareik,ကော့ကရိတ်ခရိုင်,MM003D003,Kayin,ကရင်ပြည်နယ်,MM003,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Falam,ဖလမ်း,MM004001,,,,Falam,ဖလမ်းခရိုင်,MM004D001,Chin,ချင်းပြည်နယ်,MM004,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Hakha,ဟားခါး,MM004002,,,,Hakha,ဟားခါးခရိုင်,MM004D003,Chin,ချင်းပြည်နယ်,MM004,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Thantlang,ထန်တလန်,MM004003,,,,Hakha,ဟားခါးခရိုင်,MM004D003,Chin,ချင်းပြည်နယ်,MM004,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Tedim,တီးတိန်,MM004004,,,,Falam,ဖလမ်းခရိုင်,MM004D001,Chin,ချင်းပြည်နယ်,MM004,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Tonzang,တွန်းဇန်,MM004005,,,,Falam,ဖလမ်းခရိုင်,MM004D001,Chin,ချင်းပြည်နယ်,MM004,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Mindat,မင်းတပ်,MM004006,,,,Mindat,မင်းတပ်ခရိုင်,MM004D002,Chin,ချင်းပြည်နယ်,MM004,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Matupi,မတူပီ,MM004007,,,,Matupi,မတူပီခရိုင်,MM004D004,Chin,ချင်းပြည်နယ်,MM004,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Kanpetlet,ကန်ပက်လက်,MM004008,,,,Mindat,မင်းတပ်ခရိုင်,MM004D002,Chin,ချင်းပြည်နယ်,MM004,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
Paletwa,ပလက်ဝ,MM004009,,,,Matupi,မတူပီခရိုင်,MM004D004,Chin,ချင်းပြည်နယ်,MM004,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
