#adm2+name+i_en,#adm2+name+i_tr,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm2+name+alt1+i_tr,#adm2+name+alt2+i_tr,#adm1+name+i_en,#adm1+name+i_tr,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_tr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Aladag,Aladağ,TR001001,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Ceyhan,Ceyhan,TR001002,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Cukurova,Çukurova,TR001003,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Feke,Feke,TR001004,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Imamoglu,Imamoğlu,TR001005,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Karaisali,Karaisali,TR001006,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Karatas,Karataş,TR001007,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Kozan,Kozan,TR001008,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Pozanti,Pozanti,TR001009,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Saimbeyli,Saimbeyli,TR001010,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Saricam,Sariçam,TR001011,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Seyhan,Seyhan,TR001012,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Tufanbeyli,Tufanbeyli,TR001013,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Yumurtalik,Yumurtalik,TR001014,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Yuregir,Yüreğir,TR001015,,,,,,Adana,Adana,TR001,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Adiyaman,Adiyaman,TR002001,,,,,,Adiyaman,Adiyaman,TR002,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Besni,Besni,TR002002,,,,,,Adiyaman,Adiyaman,TR002,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Celikhan,Çelikhan,TR002003,,,,,,Adiyaman,Adiyaman,TR002,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Gerger,Gerger,TR002004,,,,,,Adiyaman,Adiyaman,TR002,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Golbasi,Gölbaşi,TR002005,,,,,,Adiyaman,Adiyaman,TR002,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Kahta,Kahta,TR002006,,,,,,Adiyaman,Adiyaman,TR002,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Samsat,Samsat,TR002007,,,,,,Adiyaman,Adiyaman,TR002,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Sincik,Sincik,TR002008,,,,,,Adiyaman,Adiyaman,TR002,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Tut,Tut,TR002009,,,,,,Adiyaman,Adiyaman,TR002,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Afyonkarahisar,Afyonkarahisar,TR003001,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Basmakci,Başmakçi,TR003002,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
Bayat,Bayat,TR003003,,,,,,Afyonkarahisar,Afyonkarahisar,TR003,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
