#adm3+name+i_es,#adm3+name+i_en,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_es,#adm3+name+alt2+i_es,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm2+name+i_es,#adm2+name+i_en,#adm2+code+v_pcode,#adm1+name+i_es,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_es,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Municipio San Francisco de Macorís,,DO010101,Municipio San Francisco de Macoris,,,,,Provincia Duarte,,DO0101,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Arenoso,,DO010102,Municipio Arenoso,,,,,Provincia Duarte,,DO0101,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Castillo,,DO010103,Municipio Castillo,,,,,Provincia Duarte,,DO0101,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Pimentel,,DO010104,Municipio Pimentel,,,,,Provincia Duarte,,DO0101,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Villa Riva,,DO010105,Municipio Villa Riva,,,,,Provincia Duarte,,DO0101,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Las Guáranas,,DO010106,Municipio Las Guaranas,,,,,Provincia Duarte,,DO0101,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Eugenio María de Hostos,,DO010107,Municipio Eugenio Maria de Hostos,,,,,Provincia Duarte,,DO0101,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Salcedo,,DO010201,Municipio Salcedo,,,,,Provincia Hermanas Mirabal,,DO0102,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Tenares,,DO010202,Municipio Tenares,,,,,Provincia Hermanas Mirabal,,DO0102,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Villa Tapia,,DO010203,Municipio Villa Tapia,,,,,Provincia Hermanas Mirabal,,DO0102,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Nagua,,DO010301,Municipio Nagua,,,,,Provincia María Trinidad Sánchez,,DO0103,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Cabrera,,DO010302,Municipio Cabrera,,,,,Provincia María Trinidad Sánchez,,DO0103,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio El Factor,,DO010303,Municipio El Factor,,,,,Provincia María Trinidad Sánchez,,DO0103,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Río San Juan,,DO010304,Municipio Rio San Juan,,,,,Provincia María Trinidad Sánchez,,DO0103,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Samaná,,DO010401,Municipio Samana,,,,,Provincia Samaná,,DO0104,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Sánchez,,DO010402,Municipio Sanchez,,,,,Provincia Samaná,,DO0104,Región Cibao Nordeste,,DO01,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
