#adm2+name+i_en,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Kailahun,SL0101,Kailahun,,,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Kenema,SL0102,Kenema,,,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Kono,SL0103,Kono,,,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Bombali,SL0201,Bombali,,,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
Kambia,SL0202,Kambia,,,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
Koinadugu,SL0203,Koinadugu,,,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
Port Loko,SL0204,Port Loko,,,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
Tonkolili,SL0205,Tonkolili,,,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
Bo,SL0301,Bo,,,Southern,SL03,Sierra Leone,SL,2017-08-16,2022-01-04,
Bonthe,SL0302,Bonthe,,,Southern,SL03,Sierra Leone,SL,2017-08-16,2022-01-04,
Moyamba,SL0303,Moyamba,,,Southern,SL03,Sierra Leone,SL,2017-08-16,2022-01-04,
Pujehun,SL0304,Pujehun,,,Southern,SL03,Sierra Leone,SL,2017-08-16,2022-01-04,
Western Area Rural,SL0401,Western Area Rural,,,Western,SL04,Sierra Leone,SL,2017-08-16,2022-01-04,
Western Area Urban,SL0402,Western Area Urban,,,Western,SL04,Sierra Leone,SL,2017-08-16,2022-01-04,
