#adm1+name+i_en,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Johor,MY01,,,,Malaysia,MY,2019-12-02,2021-02-15,
Kedeh,MY02,,,,Malaysia,MY,2019-12-02,2021-02-15,
Kelantan,MY03,,,,Malaysia,MY,2019-12-02,2021-02-15,
W.P. Kuala Lumpur,MY04,,,,Malaysia,MY,2019-12-02,2021-02-15,
W.P. Labuan,MY05,,,,Malaysia,MY,2019-12-02,2021-02-15,
Melaka,MY06,,,,Malaysia,MY,2019-12-02,2021-02-15,
Negeri,MY07,,,,Malaysia,MY,2019-12-02,2021-02-15,
Pahang,MY08,,,,Malaysia,MY,2019-12-02,2021-02-15,
Perak,MY09,,,,Malaysia,MY,2019-12-02,2021-02-15,
Perlis,MY10,,,,Malaysia,MY,2019-12-02,2021-02-15,
Pulau Pinang,MY11,,,,Malaysia,MY,2019-12-02,2021-02-15,
Sabah,MY12,,,,Malaysia,MY,2019-12-02,2021-02-15,
Sarawak,MY13,,,,Malaysia,MY,2019-12-02,2021-02-15,
Terengganu,MY15,,,,Malaysia,MY,2019-12-02,2021-02-15,
W.P. Putrajaya,MY16,,,,Malaysia,MY,2019-12-02,2021-02-15,
Selangor,MY17,,,,Malaysia,MY,2019-12-02,2021-02-15,
