#adm2+name+i_es,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_es,#adm2+name+alt2+i_es,#adm1+name+i_es,#adm1+code+v_pcode,#country+name+i_es,#country+code+v_iso2,#date+start,#date+updated,#date+end
San Jose,CR101,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
Escazu,CR102,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
Desamparados,CR103,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
Puriscal,CR104,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
Tarrazu,CR105,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
Aserri,CR106,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
Mora,CR107,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
Goicoechea,CR108,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
Santa Ana,CR109,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
Alajuelita,CR110,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
Vazquez De Coronado,CR111,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
Acosta,CR112,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
Tibas,CR113,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
Moravia,CR114,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
Montes De Oca,CR115,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
Turrubares,CR116,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
Dota,CR117,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
Curridabat,CR118,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
Perez Zeledon,CR119,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
Leon Cortes,CR120,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
Alajuela,CR201,,,,Alajuela,CR2,Costa Rica,CR,2022-01-13,2022-02-09,
San Ramon,CR202,,,,Alajuela,CR2,Costa Rica,CR,2022-01-13,2022-02-09,
Grecia,CR203,,,,Alajuela,CR2,Costa Rica,CR,2022-01-13,2022-02-09,
San Mateo,CR204,,,,Alajuela,CR2,Costa Rica,CR,2022-01-13,2022-02-09,
Atenas,CR205,,,,Alajuela,CR2,Costa Rica,CR,2022-01-13,2022-02-09,
Naranjo,CR206,,,,Alajuela,CR2,Costa Rica,CR,2022-01-13,2022-02-09,
Palmares,CR207,,,,Alajuela,CR2,Costa Rica,CR,2022-01-13,2022-02-09,
Poas,CR208,,,,Alajuela,CR2,Costa Rica,CR,2022-01-13,2022-02-09,
Orotina,CR209,,,,Alajuela,CR2,Costa Rica,CR,2022-01-13,2022-02-09,
San Carlos,CR210,,,,Alajuela,CR2,Costa Rica,CR,2022-01-13,2022-02-09,
Alfaro Ruiz,CR211,,,,Alajuela,CR2,Costa Rica,CR,2022-01-13,2022-02-09,
Valverde Vega,CR212,,,,Alajuela,CR2,Costa Rica,CR,2022-01-13,2022-02-09,
Upala,CR213,,,,Alajuela,CR2,Costa Rica,CR,2022-01-13,2022-02-09,
Los Chiles,CR214,,,,Alajuela,CR2,Costa Rica,CR,2022-01-13,2022-02-09,
Guatuso,CR215,,,,Alajuela,CR2,Costa Rica,CR,2022-01-13,2022-02-09,
Cartago,CR301,,,,Cartago,CR3,Costa Rica,CR,2022-01-13,2022-02-09,
Paraiso,CR302,,,,Cartago,CR3,Costa Rica,CR,2022-01-13,2022-02-09,
La Union,CR303,,,,Cartago,CR3,Costa Rica,CR,2022-01-13,2022-02-09,
Jimenez,CR304,,,,Cartago,CR3,Costa Rica,CR,2022-01-13,2022-02-09,
Turrialba,CR305,,,,Cartago,CR3,Costa Rica,CR,2022-01-13,2022-02-09,
Alvarado,CR306,,,,Cartago,CR3,Costa Rica,CR,2022-01-13,2022-02-09,
Oreamuno,CR307,,,,Cartago,CR3,Costa Rica,CR,2022-01-13,2022-02-09,
El Guarco,CR308,,,,Cartago,CR3,Costa Rica,CR,2022-01-13,2022-02-09,
Heredia,CR401,,,,Heredia,CR4,Costa Rica,CR,2022-01-13,2022-02-09,
Barva,CR402,,,,Heredia,CR4,Costa Rica,CR,2022-01-13,2022-02-09,
Santo Domingo,CR403,,,,Heredia,CR4,Costa Rica,CR,2022-01-13,2022-02-09,
Santa Barbara,CR404,,,,Heredia,CR4,Costa Rica,CR,2022-01-13,2022-02-09,
San Rafael,CR405,,,,Heredia,CR4,Costa Rica,CR,2022-01-13,2022-02-09,
San Isidro,CR406,,,,Heredia,CR4,Costa Rica,CR,2022-01-13,2022-02-09,
Belen,CR407,,,,Heredia,CR4,Costa Rica,CR,2022-01-13,2022-02-09,
Flores,CR408,,,,Heredia,CR4,Costa Rica,CR,2022-01-13,2022-02-09,
San Pablo,CR409,,,,Heredia,CR4,Costa Rica,CR,2022-01-13,2022-02-09,
Sarapiqui,CR410,,,,Heredia,CR4,Costa Rica,CR,2022-01-13,2022-02-09,
Liberia,CR501,,,,Guanacaste,CR5,Costa Rica,CR,2022-01-13,2022-02-09,
Nicoya,CR502,,,,Guanacaste,CR5,Costa Rica,CR,2022-01-13,2022-02-09,
Santa Cruz,CR503,,,,Guanacaste,CR5,Costa Rica,CR,2022-01-13,2022-02-09,
Bagaces,CR504,,,,Guanacaste,CR5,Costa Rica,CR,2022-01-13,2022-02-09,
Carrillo,CR505,,,,Guanacaste,CR5,Costa Rica,CR,2022-01-13,2022-02-09,
Cañas,CR506,,,,Guanacaste,CR5,Costa Rica,CR,2022-01-13,2022-02-09,
Abangares,CR507,,,,Guanacaste,CR5,Costa Rica,CR,2022-01-13,2022-02-09,
Tilaran,CR508,,,,Guanacaste,CR5,Costa Rica,CR,2022-01-13,2022-02-09,
Nandayure,CR509,,,,Guanacaste,CR5,Costa Rica,CR,2022-01-13,2022-02-09,
La Cruz,CR510,,,,Guanacaste,CR5,Costa Rica,CR,2022-01-13,2022-02-09,
Hojancha,CR511,,,,Guanacaste,CR5,Costa Rica,CR,2022-01-13,2022-02-09,
Puntarenas,CR601,,,,Puntarenas,CR6,Costa Rica,CR,2022-01-13,2022-02-09,
Esparza,CR602,,,,Puntarenas,CR6,Costa Rica,CR,2022-01-13,2022-02-09,
Buenos Aires,CR603,,,,Puntarenas,CR6,Costa Rica,CR,2022-01-13,2022-02-09,
Montes De Oro,CR604,,,,Puntarenas,CR6,Costa Rica,CR,2022-01-13,2022-02-09,
Osa,CR605,,,,Puntarenas,CR6,Costa Rica,CR,2022-01-13,2022-02-09,
Aguirre,CR606,,,,Puntarenas,CR6,Costa Rica,CR,2022-01-13,2022-02-09,
Golfito,CR607,,,,Puntarenas,CR6,Costa Rica,CR,2022-01-13,2022-02-09,
Coto Brus,CR608,,,,Puntarenas,CR6,Costa Rica,CR,2022-01-13,2022-02-09,
Parrita,CR609,,,,Puntarenas,CR6,Costa Rica,CR,2022-01-13,2022-02-09,
Corredores,CR610,,,,Puntarenas,CR6,Costa Rica,CR,2022-01-13,2022-02-09,
Garabito,CR611,,,,Puntarenas,CR6,Costa Rica,CR,2022-01-13,2022-02-09,
Limon,CR701,,,,Limon,CR7,Costa Rica,CR,2022-01-13,2022-02-09,
Pococi,CR702,,,,Limon,CR7,Costa Rica,CR,2022-01-13,2022-02-09,
Siquirres,CR703,,,,Limon,CR7,Costa Rica,CR,2022-01-13,2022-02-09,
Talamanca,CR704,,,,Limon,CR7,Costa Rica,CR,2022-01-13,2022-02-09,
Matina,CR705,,,,Limon,CR7,Costa Rica,CR,2022-01-13,2022-02-09,
Guacimo,CR706,,,,Limon,CR7,Costa Rica,CR,2022-01-13,2022-02-09,
