#adm4+name+i_es,#adm4+code+v_pcode,#adm4+name,#adm4+name+alt1+i_es,#adm4+name+alt2+i_es,#adm3+name+i_es,#adm3+code+v_pcode,#adm2+name+i_es,#adm2+code+v_pcode,#adm1+name+i_es,#adm1+code+v_pcode,#country+name+i_es,#country+code+v_iso2,#date+start,#date+updated,#date+end
San Francisco de Macorís,DO01010101,San Francisco de Macoris,,,Municipio San Francisco de Macorís,DO010101,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
La Peña (D.M.),DO01010102,La Pena (D.M.),,,Municipio San Francisco de Macorís,DO010101,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Cenoví (D.M.),DO01010103,Cenovi (D.M.),,,Municipio San Francisco de Macorís,DO010101,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Jaya (D.M.),DO01010104,,,,Municipio San Francisco de Macorís,DO010101,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Presidente Don Antonio Guzmán Fernández (D.M.),DO01010105,Presidente Don Antonio Guzman Fernandez (D.M.),,,Municipio San Francisco de Macorís,DO010101,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Arenoso,DO01010201,,,,Municipio Arenoso,DO010102,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Las Coles (D.M.),DO01010202,,,,Municipio Arenoso,DO010102,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
El Aguacate (D.M.),DO01010203,,,,Municipio Arenoso,DO010102,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Castillo,DO01010301,,,,Municipio Castillo,DO010103,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Pimentel,DO01010401,,,,Municipio Pimentel,DO010104,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Villa Riva,DO01010501,,,,Municipio Villa Riva,DO010105,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Agua Santa del Yuna (D.M.),DO01010502,,,,Municipio Villa Riva,DO010105,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Cristo Rey de Guaraguao (D.M.),DO01010503,,,,Municipio Villa Riva,DO010105,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Las Taranas (D.M.),DO01010504,,,,Municipio Villa Riva,DO010105,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Barraquito (D.M.),DO01010505,,,,Municipio Villa Riva,DO010105,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Las Guáranas,DO01010601,Las Guaranas,,,Municipio Las Guáranas,DO010106,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Eugenio María de Hostos,DO01010701,Eugenio Maria de Hostos,,,Municipio Eugenio María de Hostos,DO010107,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Sabana Grande (D.M.),DO01010702,,,,Municipio Eugenio María de Hostos,DO010107,Provincia Duarte,DO0101,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Salcedo,DO01020101,,,,Municipio Salcedo,DO010201,Provincia Hermanas Mirabal,DO0102,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Jamao Afuera (D.M.),DO01020102,,,,Municipio Salcedo,DO010201,Provincia Hermanas Mirabal,DO0102,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Tenares,DO01020201,,,,Municipio Tenares,DO010202,Provincia Hermanas Mirabal,DO0102,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Blanco (D.M.),DO01020202,,,,Municipio Tenares,DO010202,Provincia Hermanas Mirabal,DO0102,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Villa Tapia,DO01020301,,,,Municipio Villa Tapia,DO010203,Provincia Hermanas Mirabal,DO0102,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Nagua,DO01030101,,,,Municipio Nagua,DO010301,Provincia María Trinidad Sánchez,DO0103,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
San José de Matanzas (D.M.),DO01030102,San Jose de Matanzas (D.M.),,,Municipio Nagua,DO010301,Provincia María Trinidad Sánchez,DO0103,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Las Gordas (D.M.),DO01030103,,,,Municipio Nagua,DO010301,Provincia María Trinidad Sánchez,DO0103,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Arroyo al Medio (D.M.),DO01030104,,,,Municipio Nagua,DO010301,Provincia María Trinidad Sánchez,DO0103,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Cabrera,DO01030201,,,,Municipio Cabrera,DO010302,Provincia María Trinidad Sánchez,DO0103,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Arroyo Salado (D.M.),DO01030202,,,,Municipio Cabrera,DO010302,Provincia María Trinidad Sánchez,DO0103,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
La Entrada (D.M.),DO01030203,,,,Municipio Cabrera,DO010302,Provincia María Trinidad Sánchez,DO0103,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
El Factor,DO01030301,,,,Municipio El Factor,DO010303,Provincia María Trinidad Sánchez,DO0103,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
El Pozo (D.M.),DO01030302,,,,Municipio El Factor,DO010303,Provincia María Trinidad Sánchez,DO0103,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Río San Juan,DO01030401,Rio San Juan,,,Municipio Río San Juan,DO010304,Provincia María Trinidad Sánchez,DO0103,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Samaná,DO01040101,Samana,,,Municipio Samaná,DO010401,Provincia Samaná,DO0104,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
El Limón (D.M.),DO01040102,El Limon (D.M.),,,Municipio Samaná,DO010401,Provincia Samaná,DO0104,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Arroyo Barril (D.M.),DO01040103,,,,Municipio Samaná,DO010401,Provincia Samaná,DO0104,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Las Galeras (D.M.),DO01040104,,,,Municipio Samaná,DO010401,Provincia Samaná,DO0104,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Sánchez,DO01040201,Sanchez,,,Municipio Sánchez,DO010402,Provincia Samaná,DO0104,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Las Terrenas,DO01040301,,,,Municipio Las Terrenas,DO010403,Provincia Samaná,DO0104,Región Cibao Nordeste,DO01,República Dominicana (la),DO,2017-09-06,2021-07-01,
Dajabón,DO02010101,Dajabon,,,Municipio Dajabón,DO020101,Provincia Dajabón,DO0201,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Cañongo (D.M.),DO02010102,Canongo (D.M.),,,Municipio Dajabón,DO020101,Provincia Dajabón,DO0201,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Loma de Cabrera,DO02010201,,,,Municipio Loma de Cabrera,DO020102,Provincia Dajabón,DO0201,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Capotillo (D.M.),DO02010202,,,,Municipio Loma de Cabrera,DO020102,Provincia Dajabón,DO0201,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Santiago de la Cruz (D.M.),DO02010203,,,,Municipio Loma de Cabrera,DO020102,Provincia Dajabón,DO0201,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Partido,DO02010301,,,,Municipio Partido,DO020103,Provincia Dajabón,DO0201,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
Restauración,DO02010401,Restauracion,,,Municipio Restauración,DO020104,Provincia Dajabón,DO0201,Región Cibao Noroeste,DO02,República Dominicana (la),DO,2017-09-06,2021-07-01,
