#adm3+name+i_en,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm2+name+i_en,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
TA Mwabulambya,MW10101,,,,Chitipa,MW101,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
TA Mwenemisuku,MW10102,,,,Chitipa,MW101,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
TA Mwenewenya,MW10103,,,,Chitipa,MW101,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
TA Nthalire,MW10104,,,,Chitipa,MW101,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
TA Kameme,MW10105,,,,Chitipa,MW101,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Nyika National Park - Chitipa,MW10106,,,,Chitipa,MW101,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Chitipa Boma,MW10120,,,,Chitipa,MW101,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
TA Kilupula,MW10201,,,,Karonga,MW102,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
SC Mwakaboko,MW10202,,STA Mwakaboko,,Karonga,MW102,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
TA Kyungu,MW10203,,,,Karonga,MW102,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
TA Wasambo,MW10204,,,,Karonga,MW102,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
SC Mwirang'ombe,MW10205,SC Mwirangombe,STA Mwirang'ombe,,Karonga,MW102,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Nyika National Park - Karonga,MW10206,,,,Karonga,MW102,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Karonga Town,MW10220,,,,Karonga,MW102,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
TA Kabunduli,MW10301,,,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
TA Fukamapiri,MW10302,,,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
TA Malenga Mzoma,MW10303,,,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
SC Malanda,MW10304,,STA Malanda,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
SC Zilakoma,MW10305,,STA Zilakoma,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
TA Mankhambira,MW10306,,,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
SC Fukamalaza,MW10307,,STA Fukamalaza,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
SC Mkumbira,MW10308,,STA Mkumbira,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
TA Musisya,MW10309,,,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
SC Nyaluwanga,MW10310,,STA Nyaluwanga,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
SC Mkondowe,MW10311,,STA Mkondowe,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
TA Timbiri,MW10312,,,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
TA Boghoyo,MW10313,,,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Nkhata Bay Boma,MW10320,,,,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
TA Chikulamayembe,MW10401,,,,Rumphi,MW104,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
TA Mwamlowe,MW10402,,,,Rumphi,MW104,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
SC Mwahenga,MW10403,,S/C Mwahenga,,Rumphi,MW104,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
SC Mwalweni,MW10404,,S/C Mwalweni,,Rumphi,MW104,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
SC Kachulu,MW10405,,S/C Kachulu,,Rumphi,MW104,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
SC Chapinduka,MW10406,,S/C Chapinduka,,Rumphi,MW104,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
SC Mwankhunikira,MW10407,,S/C Mwankhunikira,,Rumphi,MW104,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
TA Katumbi,MW10408,,,,Rumphi,MW104,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
TA Zolokere,MW10409,,S/C Zolokere,,Rumphi,MW104,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Nyika National Park - Rumphi,MW10410,,,,Rumphi,MW104,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Vwaza Marsh Reserve - Rumphi,MW10411,,Vwaza Game Reserve,,Rumphi,MW104,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Rumphi Boma,MW10420,,,,Rumphi,MW104,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
TA M'Mbelwa,MW10501,TA MMbelwa,,,Mzimba,MW105,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
TA Mtwalo,MW10502,,,,Mzimba,MW105,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
SC Kampingo Sibande,MW10503,,S/C Kampingo Sibande,,Mzimba,MW105,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
SC Jaravikuba Munthali,MW10504,,,,Mzimba,MW105,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
TA Chindi,MW10505,,,,Mzimba,MW105,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
TA Mzikubola,MW10506,,,,Mzimba,MW105,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
TA Mabulabo,MW10507,,,,Mzimba,MW105,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
SC Khosolo Gwaza Jere,MW10508,,,,Mzimba,MW105,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
TA Mpherembe,MW10509,,,,Mzimba,MW105,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
TA Mzukuzuku,MW10510,,,,Mzimba,MW105,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Vwaza Marsh Reserve - Mzimba,MW10511,,Vwaza G.Reserve,,Mzimba,MW105,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Mzimba Boma,MW10520,,,,Mzimba,MW105,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
TA Mkumpha,MW10601,,,,Likoma,MW106,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Likoma Boma,MW10620,,,,Likoma,MW106,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Nkhorongo Ward,MW10731,,,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Lupaso Ward,MW10732,,,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Zolozolo Ward,MW10733,,,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Chiputula Ward,MW10734,,,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Chibanja Ward,MW10735,,,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Mchengautuwa Ward,MW10736,,,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Katoto Ward,MW10737,,,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Jombo Ward,MW10738,,,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Muzilawayingwe Ward,MW10739,,Mzilawayingwe ward,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Chasefu Ward,MW10740,,,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Katawa Ward,MW10741,,,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Masasa Ward,MW10742,,,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Kaning'ina Ward,MW10743,Kaningina Ward,,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Viphya Ward,MW10744,,,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Msongwe Ward,MW10745,,,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
New Airport Site Ward,MW10746,,,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
TA Kaluluma,MW20101,,,,Kasungu,MW201,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
SC Simlemba,MW20102,,STA Simlemba,,Kasungu,MW201,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
SC M'nyanja,MW20103,SC Mnyanja,STA M'nyanja,,Kasungu,MW201,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
SC Chisikwa,MW20104,,STA Chisikwa,,Kasungu,MW201,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
TA Kaomba,MW20105,,,,Kasungu,MW201,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
SC Lukwa,MW20106,,TA Lukwa,,Kasungu,MW201,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
SC Kawamba,MW20107,,STA Kawamba,,Kasungu,MW201,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
SC Njombwa,MW20108,,STA Njombwa,,Kasungu,MW201,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
SC Chilowamatambe,MW20109,,STA Chilowamatambe,,Kasungu,MW201,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
TA Chulu,MW20110,,,,Kasungu,MW201,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
TA Santhe,MW20111,,,,Kasungu,MW201,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
TA Wimbe,MW20112,,,,Kasungu,MW201,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
TA Kapelula,MW20113,,,,Kasungu,MW201,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
TA Mwase,MW20114,,Kasungu National Park,,Kasungu,MW201,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
Kasungu National Park,MW20115,,TA Mwase,,Kasungu,MW201,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
Kasungu Boma,MW20120,,Kasungu Township,,Kasungu,MW201,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
TA Kanyenda,MW20201,,,,Nkhotakota,MW202,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
SC Kafuzila,MW20202,,STA Kafuzila,,Nkhotakota,MW202,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
TA Malenga Chanzi,MW20203,,,,Nkhotakota,MW202,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
SC Mphonde,MW20204,,STA Mphonde,,Nkhotakota,MW202,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
TA Mwadzama,MW20205,,,,Nkhotakota,MW202,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
SC Mwansambo,MW20206,,TA Mwansambo,,Nkhotakota,MW202,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
Nkhotakota Game Reserve,MW20207,,,,Nkhotakota,MW202,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
Nkhotakota Boma,MW20220,,,,Nkhotakota,MW202,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
