#adm3+name+i_fr,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_fr,#adm3+name+alt2+i_fr,#adm2+name+i_fr,#adm2+code+v_pcode,#adm1+name+i_fr,#adm1+code+v_pcode,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Bafoulabe,ML010101,,,,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Bamafélé,ML010102,Bamafele,,,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Diakon,ML010103,,,,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Diallan,ML010104,,,,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Diokeli,ML010105,,,,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Gounfan,ML010106,,,,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Kontéla,ML010107,Kontela,,,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Koundian,ML010108,,,,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Mahina,ML010109,,,,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Niambia,ML010110,,,,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Dinlin Oualia,ML010111,,,,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Sidibela,ML010112,,,,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Tomora,ML010113,,,,Bafoulabe,ML0101,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Béma,ML010201,Bema,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Diangounté Camara,ML010202,Diangounte Camara,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Dianguirdé,ML010203,Dianguirde,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Diema,ML010204,,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Diéoura,ML010205,Dieoura,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Dioumara Koussata,ML010206,,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Fassoudebé,ML010207,Fassou Debe,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Fatao,ML010208,,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Gomitradougou,ML010209,,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Grouméra,ML010210,Groumera,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Guédébiné,ML010211,Guedebine,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Lakamané,ML010212,Lakamane,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Lambidou,ML010213,,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Madiga Sacko,ML010214,,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Sansankidé,ML010215,Sansankide,,,Diéma,ML0102,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Bangassi,ML010301,,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Colimbiné,ML010302,Colimbine,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Diamou,ML010303,,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Djélébou,ML010304,Djelebou,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Falémé,ML010305,Faleme,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Fégui,ML010306,Fegui,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Gory Gopéla,ML010307,Gory Gopela,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Gouméra,ML010308,Goumera,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Guidimakan Keri Kaff,ML010309,,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Hawa Dembaya,ML010310,,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Karakoro,ML010311,,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Kayes,ML010312,,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Kéméné Tambo,ML010313,Kemene Tambo,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Khouloum,ML010314,,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Koniakary,ML010315,,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Koussané,ML010316,Koussane,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Liberté Dembaya,ML010317,Liberte Dembaya,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Logo,ML010318,,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Maréna Diombougou,ML010319,Marena Diombougou,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Marintoumania,ML010320,,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Sadiola,ML010321,,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Sahel,ML010322,,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Samé Diomgoma,ML010323,Same Diomboma,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Ségala,ML010324,Segala,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Séro Siamanou,ML010325,Sero Diamanou,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Somankidy,ML010326,,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Sony,ML010327,,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Tafacirga,ML010328,,,,Kayes,ML0103,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Baye,ML010401,,,,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Dabia,ML010402,,,,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Dialafara,ML010403,,,,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Dombia,ML010404,,,,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Faléa,ML010405,Falea,,,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Faraba,ML010406,,,,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Guenegoré,ML010407,Guenegore,,,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Kassama,ML010408,,,,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Kéniéba,ML010409,Kenieba,,,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Kouroukoto,ML010410,,,,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Sagalo,ML010411,,,,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Sitakily,ML010412,,,,Kéniéba,ML0104,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Badia,ML010501,,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Bendougouba,ML010502,,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Benkadi Founia,ML010503,,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Boudofo,ML010504,,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Bougarybaya,ML010505,,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Dindanko,ML010506,,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Djidian,ML010507,,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Djougoun,ML010508,,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Gadougou I,ML010509,,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Gadougou II,ML010510,,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Guémoukouraba,ML010511,Guemoukouraba,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Kassaro,ML010512,,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Kita,ML010513,,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Kita Nord,ML010514,,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Kita Ouest,ML010515,,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Kobri,ML010516,,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Kokofata,ML010517,,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Kotouba,ML010518,,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Koulou,ML010519,,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Kourounikoto,ML010520,,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Madina,ML010521,,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Makano,ML010522,,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Namala Guimba,ML010523,,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Niantanso,ML010524,,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Saboula,ML010525,,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Sébékoro,ML010526,Sebekoro,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Séféto Nord,ML010527,Sefeto Nord,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
Séféto Ouest,ML010528,Sefeto Ouest,,,Kita,ML0105,Kayes,ML01,Mali (le),ML,2015-06-01,2021-12-23,
