#adm3+name+i_fr,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_fr,#adm3+name+alt2+i_fr,#adm2+name+i_fr,#adm2+code+v_pcode,#adm1+name+i_fr,#adm1+code+v_pcode,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Abidjan,CI010101,,,,Abidjan,CI0101,District Autonome D'Abidjan,CI01,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Anyama,CI010102,,,,Abidjan,CI0101,District Autonome D'Abidjan,CI01,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Bingerville,CI010103,,,,Abidjan,CI0101,District Autonome D'Abidjan,CI01,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Brofodoumé,CI010104,Brofodoume,,,Abidjan,CI0101,District Autonome D'Abidjan,CI01,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Songon,CI010105,,,,Abidjan,CI0101,District Autonome D'Abidjan,CI01,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Attiégouakro,CI020101,Attiegouakro,,,Attiégouakro,CI0201,District Autonome De Yamoussoukro,CI02,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Lolobo,CI020102,,,,Attiégouakro,CI0201,District Autonome De Yamoussoukro,CI02,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Yamoussoukro,CI020201,,,,Yamoussoukro,CI0202,District Autonome De Yamoussoukro,CI02,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Kossou,CI020202,,,,Yamoussoukro,CI0202,District Autonome De Yamoussoukro,CI02,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Aboudé,CI030101,Aboude,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Agboville,CI030102,,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Ananguié,CI030103,Ananguie,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Attobrou,CI030104,,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Azaguié,CI030105,Azaguie,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Cechi,CI030106,,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Grand-Morié,CI030107,Grand-Morie,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Guessiguié,CI030108,Guessiguie,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Loviguié,CI030109,Loviguie,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Oress-Krobou,CI030110,,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Rubino,CI030111,,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Sikensi,CI030201,,,,Sikensi,CI0302,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Gomon,CI030202,,,,Sikensi,CI0302,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Taabo,CI030301,,,,Taabo,CI0303,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Pacobo,CI030302,,,,Taabo,CI0303,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Tiassalé,CI030401,Tiassale,,,Tiassalé,CI0304,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Gbolouville,CI030402,,,,Tiassalé,CI0304,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Morokro,CI030403,,,,Tiassalé,CI0304,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
N'Douci,CI030404,NDouci,,,Tiassalé,CI0304,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Koro,CI040101,,,,Koro,CI0401,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Booko,CI040102,,,,Koro,CI0401,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Borotou,CI040103,,,,Koro,CI0401,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Mahandougou,CI040104,,,,Koro,CI0401,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Niokosso,CI040105,,,,Koro,CI0401,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Ouaninou,CI040201,,,,Ouaninou,CI0402,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Gbèlo,CI040202,Gbelo,,,Ouaninou,CI0402,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Gouékan,CI040203,Gouekan,,,Ouaninou,CI0402,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Koonan,CI040204,,,,Ouaninou,CI0402,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Saboudougou,CI040205,,,,Ouaninou,CI0402,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Santa,CI040206,,,,Ouaninou,CI0402,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Touba,CI040301,,,,Touba,CI0403,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Dioman,CI040302,,,,Touba,CI0403,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Foungbesso,CI040303,,,,Touba,CI0403,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Guintéguéla,CI040304,Guinteguela,,,Touba,CI0403,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Baya,CI050101,,,,Boundiali,CI0501,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Boundiali,CI050102,,,,Boundiali,CI0501,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Ganaoni,CI050103,,,,Boundiali,CI0501,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Kasséré,CI050104,Kassere,,,Boundiali,CI0501,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Siempurgo,CI050105,,,,Boundiali,CI0501,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Kouto,CI050201,,,,Kouto,CI0502,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Blességué,CI050202,Blessegue,,,Kouto,CI0502,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Gbon,CI050203,,,,Kouto,CI0502,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Kolia,CI050204,,,,Kouto,CI0502,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Sianhala,CI050205,,,,Kouto,CI0502,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Tengrela,CI050301,,,,Tengrela,CI0503,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Débété,CI050302,Debete,,,Tengrela,CI0503,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Kanakono,CI050303,,,,Tengrela,CI0503,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Papara,CI050304,,,,Tengrela,CI0503,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Boli,CI060101,,,,Didievi,CI0601,Belier,CI06,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Didievi,CI060102,,,,Didievi,CI0601,Belier,CI06,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Molonou-Blé,CI060103,Molonou-Ble,,,Didievi,CI0601,Belier,CI06,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Raviart,CI060104,,,,Didievi,CI0601,Belier,CI06,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Tie N'Diékro,CI060105,Tie NDiékro,,,Didievi,CI0601,Belier,CI06,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Bonikro,CI060201,,,,Djekanou,CI0602,Belier,CI06,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
