#adm3+name+i_en,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm2+name+i_en,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Balimo Urban LLG,PG010101,,,,Middle Fly District,PG0101,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
Bamu Rural LLG,PG010102,,,,Middle Fly District,PG0101,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
Gogodala Rural LLG,PG010103,,,,Middle Fly District,PG0101,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
Lake Murray Rural LLG,PG010104,,,,Middle Fly District,PG0101,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
Nomad Rural LLG,PG010105,,,,Middle Fly District,PG0101,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
Kiunga Rural LLG,PG010206,,,,North Fly District,PG0102,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
Kiunga Urban LLG,PG010207,,,,North Fly District,PG0102,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
Ningerum Rural LLG,PG010208,,,,North Fly District,PG0102,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
Olsobip Rural LLG,PG010209,,,,North Fly District,PG0102,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
Star Mountains Rural LLG,PG010210,,,,North Fly District,PG0102,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
Daru Urban LLG,PG010311,,,,South Fly District,PG0103,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
Kiwai Rural LLG,PG010312,,,,South Fly District,PG0103,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
Morehead Rural LLG,PG010313,,,,South Fly District,PG0103,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
Oriomo-Bituri Rural LLG,PG010314,,,,South Fly District,PG0103,Western Province,PG01,Papua New Guinea,PG,2019-05-10,2019-05-10,
Central Kerema Rural LLG,PG020101,,,,Kerema District,PG0201,Gulf Province,PG02,Papua New Guinea,PG,2019-05-10,2019-05-10,
