#adm3+name+i_en,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm2+name+i_en,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Gaborone,BW010101,,,,Gaborone,BW0101,Gaborone,BW01,Botswana,BW,2021-05-18,2021-05-18,
Francistown,BW020101,,,,Francistown,BW0201,Francistown,BW02,Botswana,BW,2021-05-18,2021-05-18,
Lobatse,BW030101,,,,Lobatse,BW0301,Lobatse,BW03,Botswana,BW,2021-05-18,2021-05-18,
Selibe Phikwe,BW040101,,,,Selibe Phikwe,BW0401,Selibe Phikwe,BW04,Botswana,BW,2021-05-18,2021-05-18,
Orapa,BW050101,,,,Orapa,BW0501,Orapa,BW05,Botswana,BW,2021-05-18,2021-05-18,
Jwaneng,BW060101,,,,Jwaneng,BW0601,Jwaneng,BW06,Botswana,BW,2021-05-18,2021-05-18,
Sowa Town,BW070101,,,,Sowa Town,BW0701,Sowa Town,BW07,Botswana,BW,2021-05-18,2021-05-18,
Kanye,BW080101,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Ranaka,BW080102,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Lotlhakane West,BW080103,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Gasita,BW080104,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Lorolwana,BW080105,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Lefoko,BW080106,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Tsonyane,BW080107,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Kgomokasitwa,BW080108,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Pitseng,BW080109,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Mokhomba,BW080110,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Lekgolobotlo,BW080111,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Seherelela,BW080112,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Lotlhakane,BW080113,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Sese,BW080114,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Sesung,BW080115,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Magotlhwane,BW080116,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Segwagwa,BW080117,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Manyana,BW080118,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Maokane,BW080119,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Dipotsana,BW080120,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Diabo,BW080121,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Molapowabojang,BW080122,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Ralekgetho,BW080123,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Moshaneng,BW080124,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Moshupa,BW080125,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Ntlhantlhe,BW080126,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Tshwaane,BW080127,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Semane,BW080128,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Tlhankane,BW080129,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Selokolela,BW080130,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Mogonye,BW080131,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Betesankwe,BW080132,,,,Southern,BW0801,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Pitsane Siding,BW080201,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Tlhareseleele,BW080202,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Pitsana-Potokwe,BW080203,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Rakhuna,BW080204,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Malokaganyane,BW080205,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Bethel,BW080206,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Dinatshana,BW080207,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Ngwatsau,BW080208,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Ramatlabama,BW080209,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Good Hope,BW080210,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Mokatako,BW080211,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Tswanyaneng,BW080212,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Metlojane,BW080213,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Borobadilepe,BW080214,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Hebron,BW080215,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
Logagane,BW080216,,,,Barolong,BW0802,Southern,BW08,Botswana,BW,2021-05-18,2021-05-18,
