#adm2+name+i_es,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_es,#adm2+name+alt2+i_es,#adm1+name+i_es,#adm1+code+v_pcode,#country+name+i_es,#country+code+v_iso2,#date+start,#date+updated,#date+end
Comuna 1,AR002007,Comuna 1,,,Ciudad de Buenos Aires,AR002,Argentina,AR,2020-05-04,2020-05-04,
Comuna 2,AR002014,Comuna 2,,,Ciudad de Buenos Aires,AR002,Argentina,AR,2020-05-04,2020-05-04,
Comuna 3,AR002021,Comuna 3,,,Ciudad de Buenos Aires,AR002,Argentina,AR,2020-05-04,2020-05-04,
Comuna 4,AR002028,Comuna 4,,,Ciudad de Buenos Aires,AR002,Argentina,AR,2020-05-04,2020-05-04,
Comuna 5,AR002035,Comuna 5,,,Ciudad de Buenos Aires,AR002,Argentina,AR,2020-05-04,2020-05-04,
Comuna 6,AR002042,Comuna 6,,,Ciudad de Buenos Aires,AR002,Argentina,AR,2020-05-04,2020-05-04,
Comuna 7,AR002049,Comuna 7,,,Ciudad de Buenos Aires,AR002,Argentina,AR,2020-05-04,2020-05-04,
Comuna 8,AR002056,Comuna 8,,,Ciudad de Buenos Aires,AR002,Argentina,AR,2020-05-04,2020-05-04,
Comuna 9,AR002063,Comuna 9,,,Ciudad de Buenos Aires,AR002,Argentina,AR,2020-05-04,2020-05-04,
Comuna 10,AR002070,Comuna 10,,,Ciudad de Buenos Aires,AR002,Argentina,AR,2020-05-04,2020-05-04,
Comuna 11,AR002077,Comuna 11,,,Ciudad de Buenos Aires,AR002,Argentina,AR,2020-05-04,2020-05-04,
Comuna 12,AR002084,Comuna 12,,,Ciudad de Buenos Aires,AR002,Argentina,AR,2020-05-04,2020-05-04,
Comuna 13,AR002091,Comuna 13,,,Ciudad de Buenos Aires,AR002,Argentina,AR,2020-05-04,2020-05-04,
Comuna 14,AR002098,Comuna 14,,,Ciudad de Buenos Aires,AR002,Argentina,AR,2020-05-04,2020-05-04,
Comuna 15,AR002105,Comuna 15,,,Ciudad de Buenos Aires,AR002,Argentina,AR,2020-05-04,2020-05-04,
Adolfo Alsina,AR006007,Adolfo Alsina,,,Buenos Aires,AR006,Argentina,AR,2020-05-04,2020-05-04,
Adolfo Gonzáles Chaves,AR006014,Adolfo Gonzales Chaves,,,Buenos Aires,AR006,Argentina,AR,2020-05-04,2020-05-04,
Alberti,AR006021,Alberti,,,Buenos Aires,AR006,Argentina,AR,2020-05-04,2020-05-04,
Almirante Brown,AR006028,Almirante Brown,,,Buenos Aires,AR006,Argentina,AR,2020-05-04,2020-05-04,
Avellaneda,AR006035,Avellaneda,,,Buenos Aires,AR006,Argentina,AR,2020-05-04,2020-05-04,
Ayacucho,AR006042,Ayacucho,,,Buenos Aires,AR006,Argentina,AR,2020-05-04,2020-05-04,
