#adm2+name+i_fr,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fr,#adm2+name+alt2+i_fr,#adm1+name+i_fr,#adm1+code+v_pcode,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Gbeleban,CI2101,,,,Kabadougou,CI21,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Madinani,CI2102,,,,Kabadougou,CI21,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Odienne,CI2103,,,,Kabadougou,CI21,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Samatiguila,CI2104,,,,Kabadougou,CI21,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Séguélon,CI2105,Seguelon,,,Kabadougou,CI21,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Divo,CI2201,,,,Loh-Djiboua,CI22,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Guitry,CI2202,,,,Loh-Djiboua,CI22,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Lakota,CI2203,,,,Loh-Djiboua,CI22,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Bouaflé,CI2301,Bouafle,,,Marahoue,CI23,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Sinfra,CI2302,,,,Marahoue,CI23,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Zuénoula,CI2303,Zuenoula,,,Marahoue,CI23,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Adzopé,CI2401,Adzope,,,Me,CI24,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Akoupé,CI2402,Akoupe,,,Me,CI24,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Alépé,CI2403,Alepe,,,Me,CI24,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Yakassé-Attobrou,CI2404,Yakasse-Attobrou,,,Me,CI24,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Arrah,CI2501,,,,Moronou,CI25,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Bongouanou,CI2502,,,,Moronou,CI25,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
M'Batto,CI2503,MBatto,,,Moronou,CI25,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Buyo,CI2601,,,,Nawa,CI26,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Guéyo,CI2602,Gueyo,,,Nawa,CI26,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Méagui,CI2603,Meagui,,,Nawa,CI26,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Soubré,CI2604,Soubre,,,Nawa,CI26,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Bocanda,CI2701,,,,N'Zi,CI27,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Dimbokro,CI2702,,,,N'Zi,CI27,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Kouassi-Kouassikro,CI2703,,,,N'Zi,CI27,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Dikodougou,CI2801,,,,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Korhogo,CI2802,,,,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
M'Bengué,CI2803,MBengue,,,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Sinématiali,CI2804,Sinematiali,,,Poro,CI28,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
San Pédro,CI2901,San Pedro,,,San Pedro,CI29,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Tabou,CI2902,,,,San Pedro,CI29,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Aboisso,CI3001,,,,Sud-Comoe,CI30,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Adiaké,CI3002,Adiake,,,Sud-Comoe,CI30,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Grand-Bassam,CI3003,,,,Sud-Comoe,CI30,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
Tiapoum,CI3004,,,,Sud-Comoe,CI30,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
