#adm3+name+i_fr,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_fr,#adm3+name+alt2+i_fr,#adm2+name+i_fr,#adm2+code+v_pcode,#adm1+name+i_fr,#adm1+code+v_pcode,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Boffa Ctre,GN00100101,Boffa Ctre,,,Boffa,GN001001,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
Douprou,GN00100102,Douprou,,,Boffa,GN001001,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
Koba Tatema,GN00100103,Koba Tatema,,,Boffa,GN001001,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
Kolia,GN00100104,Kolia,,,Boffa,GN001001,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
Lisso,GN00100105,Lisso,,,Boffa,GN001001,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
Mankountan,GN00100106,Mankountan,,,Boffa,GN001001,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
Tamita,GN00100107,Tamita,,,Boffa,GN001001,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
Tougnifily,GN00100108,Tougnifily,,,Boffa,GN001001,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
Bintimodia,GN00100201,Bintimodia,,,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
Boke Ctre,GN00100202,Boke Ctre,,,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
Dabiss,GN00100203,Dabiss,,,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
Kamsar,GN00100204,Kamsar,,,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
Kanfarande,GN00100205,Kanfarande,,,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
Kolaboui,GN00100206,Kolaboui,,,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
Malapouya,GN00100207,Malapouya,,,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
Sangaredi,GN00100208,Sangaredi,,,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
Sansale,GN00100209,Sansale,,,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
Tanene,GN00100210,Tanene,,,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
