#adm2+name+i_es,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_es,#adm2+name+alt2+i_es,#adm1+name+i_es,#adm1+code+v_pcode,#country+name+i_es,#country+code+v_iso2,#date+start,#date+updated,#date+end
Chachapoyas,PE0101,,,,Amazonas,PE01,Perú (el),PE,2015-07-24,2020-07-17,
Bagua,PE0102,,,,Amazonas,PE01,Perú (el),PE,2015-07-24,2020-07-17,
Bongara,PE0103,,,,Amazonas,PE01,Perú (el),PE,2015-07-24,2020-07-17,
Condorcanqui,PE0104,,,,Amazonas,PE01,Perú (el),PE,2015-07-24,2020-07-17,
Luya,PE0105,,,,Amazonas,PE01,Perú (el),PE,2015-07-24,2020-07-17,
Rodriguez de Mendoza,PE0106,,,,Amazonas,PE01,Perú (el),PE,2015-07-24,2020-07-17,
Utcubamba,PE0107,,,,Amazonas,PE01,Perú (el),PE,2015-07-24,2020-07-17,
Huaraz,PE0201,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
Aija,PE0202,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
Antonio Raymondi,PE0203,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
Asuncion,PE0204,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
Bolognesi,PE0205,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
Carhuaz,PE0206,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
Carlos Fermin Fitzcarrald,PE0207,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
Casma,PE0208,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
Corongo,PE0209,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
Huari,PE0210,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
Huarmey,PE0211,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
Huaylas,PE0212,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
Mariscal Luzuriaga,PE0213,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
Ocros,PE0214,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
Pallasca,PE0215,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
Pomabamba,PE0216,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
Recuay,PE0217,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
Santa,PE0218,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
Sihuas,PE0219,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
Yungay,PE0220,,,,Ancash,PE02,Perú (el),PE,2015-07-24,2020-07-17,
Abancay,PE0301,,,,Apurimac,PE03,Perú (el),PE,2015-07-24,2020-07-17,
Andahuaylas,PE0302,,,,Apurimac,PE03,Perú (el),PE,2015-07-24,2020-07-17,
Antabamba,PE0303,,,,Apurimac,PE03,Perú (el),PE,2015-07-24,2020-07-17,
Aymaraes,PE0304,,,,Apurimac,PE03,Perú (el),PE,2015-07-24,2020-07-17,
Cotabambas,PE0305,,,,Apurimac,PE03,Perú (el),PE,2015-07-24,2020-07-17,
Chincheros,PE0306,,,,Apurimac,PE03,Perú (el),PE,2015-07-24,2020-07-17,
Grau,PE0307,,,,Apurimac,PE03,Perú (el),PE,2015-07-24,2020-07-17,
Arequipa,PE0401,,,,Arequipa,PE04,Perú (el),PE,2015-07-24,2020-07-17,
Camana,PE0402,,,,Arequipa,PE04,Perú (el),PE,2015-07-24,2020-07-17,
Caraveli,PE0403,,,,Arequipa,PE04,Perú (el),PE,2015-07-24,2020-07-17,
Castilla,PE0404,,,,Arequipa,PE04,Perú (el),PE,2015-07-24,2020-07-17,
Caylloma,PE0405,,,,Arequipa,PE04,Perú (el),PE,2015-07-24,2020-07-17,
Condesuyos,PE0406,,,,Arequipa,PE04,Perú (el),PE,2015-07-24,2020-07-17,
Islay,PE0407,,,,Arequipa,PE04,Perú (el),PE,2015-07-24,2020-07-17,
