#adm2+name+i_en,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Aileu Vila,TL0201,,,,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-11,
Ainaro,TL0101,,,,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-11,
Alas,TL1002,,,,Manufahi,TL10,Timor-Leste,TL,2006-12-10,2020-09-11,
Atabae,TL0404,,,,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-11,
Atauro,TL0604,,,,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-11,
Atsabe,TL0704,,,,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
Baguia,TL0304,,,,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-11,
Balibo,TL0403,,,,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-11,
Barique/Natarbora,TL1105,,,,Manatuto,TL11,Timor-Leste,TL,2006-12-10,2020-09-11,
Baucau,TL0301,,,,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-11,
Bazartete,TL0801,,,,Liquiçá,TL08,Timor-Leste,TL,2006-12-10,2020-09-11,
Bobonaro,TL0406,,,,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-11,
Cailaco,TL0402,,,,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-11,
Cristo Rei,TL0606,,,,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-11,
Dom Aleixo,TL0605,,,,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-11,
Ermera,TL0702,,,,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
Fatuberliu,TL1003,,Fatuberlio,,Manufahi,TL10,Timor-Leste,TL,2006-12-10,2020-09-11,
Fatululic,TL0501,,,,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-11,
Fatumean,TL0502,,,,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-11,
Forohem,TL0503,,Fohorem,,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-11,
Hatolia,TL0705,,Hatulia,,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
Hatu-Builico,TL0102,,Hato-Builico,,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-11,
Hatu-Udo,TL0104,,Hato-Udo,,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-11,
Iliomar,TL0903,,,,Lautém,TL09,Timor-Leste,TL,2006-12-10,2020-09-11,
Laclo,TL1103,,,,Manatuto,TL11,Timor-Leste,TL,2006-12-10,2020-09-11,
Laclubar,TL1106,,,,Manatuto,TL11,Timor-Leste,TL,2006-12-10,2020-09-11,
Lacluta,TL1305,,,,Viqueque,TL13,Timor-Leste,TL,2006-12-10,2020-09-11,
Laga,TL0302,,,,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-11,
Laleia,TL1102,,,,Manatuto,TL11,Timor-Leste,TL,2006-12-10,2020-09-11,
Laulara,TL0204,,,,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-11,
Lautém,TL0902,Lautem,,,Lautém,TL09,Timor-Leste,TL,2006-12-10,2020-09-11,
Letefoho,TL0703,,,,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
Liquiçá,TL0802,Liquica,Liquiça,,Liquiçá,TL08,Timor-Leste,TL,2006-12-10,2020-09-11,
Liquidoe,TL0202,,Lequidoe,,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-11,
Lolotoe,TL0405,,,,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-11,
Lospalos,TL0901,,,,Lautém,TL09,Timor-Leste,TL,2006-12-10,2020-09-11,
Luro,TL0904,,,,Lautém,TL09,Timor-Leste,TL,2006-12-10,2020-09-11,
Maliana,TL0401,,,,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-11,
Manatuto,TL1101,,,,Manatuto,TL11,Timor-Leste,TL,2006-12-10,2020-09-11,
Maubara,TL0803,,,,Liquiçá,TL08,Timor-Leste,TL,2006-12-10,2020-09-11,
Maubisse,TL0103,,,,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-11,
Maukatar,TL0504,,Maucatar,,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-11,
Metinaro,TL0603,,,,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-11,
Nain Feto,TL0602,,,,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-11,
Nitibe,TL1202,,,,Oecussi,TL12,Timor-Leste,TL,2006-12-10,2020-09-11,
Oesilo,TL1203,,,,Oecussi,TL12,Timor-Leste,TL,2006-12-10,2020-09-11,
Ossu,TL1302,,,,Viqueque,TL13,Timor-Leste,TL,2006-12-10,2020-09-11,
Pante Macassar,TL1201,,Pante Macasar,,Oecussi,TL12,Timor-Leste,TL,2006-12-10,2020-09-11,
Passabe,TL1204,,,,Oecussi,TL12,Timor-Leste,TL,2006-12-10,2020-09-11,
Quelicai,TL0303,,,,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-11,
Railaco,TL0701,,,,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
Remexio,TL0203,,,,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-11,
Same,TL1001,,,,Manufahi,TL10,Timor-Leste,TL,2006-12-10,2020-09-11,
Soibada,TL1104,,,,Manatuto,TL11,Timor-Leste,TL,2006-12-10,2020-09-11,
Suai,TL0505,,,,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-11,
Tilomar,TL0506,,,,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-11,
Turiscai,TL1004,,,,Manufahi,TL10,Timor-Leste,TL,2006-12-10,2020-09-11,
Tutuala,TL0905,,,,Lautém,TL09,Timor-Leste,TL,2006-12-10,2020-09-11,
Uato-Lari,TL1303,,Watulari,,Viqueque,TL13,Timor-Leste,TL,2006-12-10,2020-09-11,
Uatucarbau,TL1301,,,,Viqueque,TL13,Timor-Leste,TL,2006-12-10,2020-09-11,
Vemasse,TL0305,,Vemase,,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-11,
Venilale,TL0306,,,,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-11,
Vera Cruz,TL0601,,,,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-11,
Viqueque,TL1304,,,,Viqueque,TL13,Timor-Leste,TL,2006-12-10,2020-09-11,
Zumalai,TL0507,,,,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-11,
