#adm1+name+i_en,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Devonshire,BM01,,,,Bermudas,BM,2017-09-21,2019-05-22,
Hamilton,BM02,,,,Bermudas,BM,2017-09-21,2019-05-22,
Paget ,BM03,,,,Bermudas,BM,2017-09-21,2019-05-22,
Pembroke ,BM04,,,,Bermudas,BM,2017-09-21,2019-05-22,
Sandys,BM05,,,,Bermudas,BM,2017-09-21,2019-05-22,
Smith's,BM06,,,,Bermudas,BM,2017-09-21,2019-05-22,
Southampton ,BM07,,,,Bermudas,BM,2017-09-21,2019-05-22,
St. George's,BM08,,,,Bermudas,BM,2017-09-21,2019-05-22,
Warwick ,BM09,,,,Bermudas,BM,2017-09-21,2019-05-22,
,,,,,,,,,
