#adm2+name+i_fr,#adm2+name+i_en,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fr,#adm2+name+alt2+i_fr,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm1+name+i_fr,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_fr,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Djérem,,CM001001,Djerem,,,,,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Faro-et-Déo,,CM001002,Faro-et-Deo,,,,,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mayo-Banyo,,CM001003,,,,,,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mbéré,,CM001004,Mbere,,,,,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Vina,,CM001005,,,,,,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Haute-Sanaga,,CM002001,,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Lekié,,CM002002,Lekie,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mbam-et-Inoubou,,CM002003,,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mbam-et-Kim,,CM002004,,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mefou-et-Afamba,,CM002005,,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mefou-et-Akono,,CM002006,,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mfoundi,,CM002007,,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Nyong-et-Kellé,,CM002008,Nyong-et-Kelle,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Nyong-et-Mfoumou,,CM002009,,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Nyong-et-So'o,,CM002010,Nyong-et-Soo,,,,,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Boumba-et-Ngoko,,CM003001,,,,,,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Haut-Nyong,,CM003002,,,,,,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Kadey,,CM003003,,,,,,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Lom-et-Djérem,,CM003004,Lom-et-Djerem,,,,,Est,East,CM003,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Diamaré,,CM004001,Diamare,,,,,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Logone-et-Chari,,CM004002,,,,,,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mayo-Danay,,CM004003,,,,,,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mayo-Kani,,CM004004,,,,,,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mayo-Sava,,CM004005,,,,,,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mayo-Tsanaga,,CM004006,,,,,,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Moungo,,CM005001,,,,,,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Nkam,,CM005002,,,,,,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Sanaga-Maritime,,CM005003,,,,,,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Wouri,,CM005004,,,,,,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bénoué,,CM006001,Benoue,,,,,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Faro,,CM006002,,,,,,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mayo-Louti,,CM006003,,,,,,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mayo-Rey,,CM006004,,,,,,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Boyo,,CM007001,,,,,,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bui,,CM007002,,,,,,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Donga-Mantung,,CM007003,,,,,,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Menchum,,CM007004,,,,,,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mezam,,CM007005,,,,,,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Momo,,CM007006,,,,,,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ngo-Ketunjia,,CM007007,,,,,,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
