#adm1+name+i_en,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Saint Anthony,MS01,,,,Montserrat,MS,2017-09-09,2020-02-25,
Saint Georges,MS02,,,,Montserrat,MS,2017-09-09,2020-02-25,
Saint Peter,MS03,,,,Montserrat,MS,2017-09-09,2020-02-25,
