#adm3+name+i_pt,#adm3+name+i_en,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_pt,#adm3+name+alt2+i_pt,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm2+name+i_pt,#adm2+name+i_en,#adm2+code+v_pcode,#adm1+name+i_pt,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_pt,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Ancuabe,,MZ010101,,,,,,Ancuabe,,MZ0101,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mesa,,MZ010102,,,,,,Ancuabe,,MZ0101,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Metoro,,MZ010103,,,,,,Ancuabe,,MZ0101,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Balama,,MZ010201,,,,,,Balama,,MZ0102,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Impiri,,MZ010202,,,,,,Balama,,MZ0102,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Kuekue,,MZ010203,,,,,,Balama,,MZ0102,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mavala,,MZ010204,,,,,,Balama,,MZ0102,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chiure,,MZ010301,,,,,,Chiure,,MZ0103,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Chiure Velho,,MZ010302,,,,,,Chiure,,MZ0103,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Katapua,,MZ010303,,,,,,Chiure,,MZ0103,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
Mazeze,,MZ010304,,,,,,Chiure,,MZ0103,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2019-06-07,
