#adm1+name+i_en,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Christ Church,BB01,,,,Barbados,BB,2017-09-07,2019-11-28,
Saint Andrew,BB02,,,,Barbados,BB,2017-09-07,2019-11-28,
Saint George,BB03,,,,Barbados,BB,2017-09-07,2019-11-28,
Saint James,BB04,,,,Barbados,BB,2017-09-07,2019-11-28,
Saint John,BB05,,,,Barbados,BB,2017-09-07,2019-11-28,
Saint Joseph,BB06,,,,Barbados,BB,2017-09-07,2019-11-28,
Saint Lucy,BB07,,,,Barbados,BB,2017-09-07,2019-11-28,
Saint Michael,BB08,,,,Barbados,BB,2017-09-07,2019-11-28,
Saint Peter,BB09,,,,Barbados,BB,2017-09-07,2019-11-28,
Saint Philip,BB10,,,,Barbados,BB,2017-09-07,2019-11-28,
Saint Thomas,BB11,,,,Barbados,BB,2017-09-07,2019-11-28,
