#adm2+name+i_en,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Domoni,KM11,,,,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
Mrémani,KM12,Mremani,,,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
Mutsamudu,KM13,,,,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
Ouani,KM14,,,,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
Sima,KM15,,,,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-12,
Hamahamet-Mboinkou,KM21,,,,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
Hambou,KM22,,,,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
Itsandra-Hamanvou,KM23,,,,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
Mbadjini Est,KM24,,,,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
Mbadjini Ouest,KM25,,,,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
Mitsamiouli-Mboudé,KM26,Mitsamiouli-Mboude,,,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
Moroni-Bambao,KM27,,,,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
Oichili-Dimani,KM28,,,,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
Kartala,KM29,,,,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-12,
Djando,KM31,,,,Mohéli (Mwali),KM3,Comoros (the),KM,2018-12-28,2019-12-12,
Fomboni,KM32,,,,Mohéli (Mwali),KM3,Comoros (the),KM,2018-12-28,2019-12-12,
Nioumachioi,KM33,,,,Mohéli (Mwali),KM3,Comoros (the),KM,2018-12-28,2019-12-12,
