#adm1+name+i_fr,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_fr,#adm1+name+alt2+i_fr,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Bouenza,CG01,,,,Congo (le),CG,2017-07-06,2019-06-17,
Brazzaville,CG02,,,,Congo (le),CG,2017-07-06,2019-06-17,
Cuvette,CG03,,,,Congo (le),CG,2017-07-06,2019-06-17,
Cuvette-Ouest,CG04,,,,Congo (le),CG,2017-07-06,2019-06-17,
Kouilou,CG05,,,,Congo (le),CG,2017-07-06,2019-06-17,
Lekoumou,CG06,,,,Congo (le),CG,2017-07-06,2019-06-17,
Likouala,CG07,,,,Congo (le),CG,2017-07-06,2019-06-17,
Niari,CG08,,,,Congo (le),CG,2017-07-06,2019-06-17,
Plateaux,CG09,,,,Congo (le),CG,2017-07-06,2019-06-17,
Point-Noire,CG10,,,,Congo (le),CG,2017-07-06,2019-06-17,
Pool,CG11,,,,Congo (le),CG,2017-07-06,2019-06-17,
Sangha,CG12,,,,Congo (le),CG,2017-07-06,2019-06-17,
