#adm1+name+i_fr,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_fr,#adm1+name+alt2+i_fr,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Boke,GN001,Boke,,,Guinea,GN,2017-08-03,2021-12-31,
Conakry,GN002,Conakry,,,Guinea,GN,2017-08-03,2021-12-31,
Faranah,GN003,Faranah,,,Guinea,GN,2017-08-03,2021-12-31,
Kankan,GN004,Kankan,,,Guinea,GN,2017-08-03,2021-12-31,
Kindia,GN005,Kindia,,,Guinea,GN,2017-08-03,2021-12-31,
Labe,GN006,Labe,,,Guinea,GN,2017-08-03,2021-12-31,
Mamou,GN007,Mamou,,,Guinea,GN,2017-08-03,2021-12-31,
Nzerekore,GN008,Nzerekore,,,Guinea,GN,2017-08-03,2021-12-31,
