#adm1+name+i_en,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
St. Andrew,DM01,,,,Dominica,DM,2017-09-07,2019-11-10,
St. David,DM02,,,,Dominica,DM,2017-09-07,2019-11-10,
St. George,DM03,,,,Dominica,DM,2017-09-07,2019-11-10,
St. John,DM04,,,,Dominica,DM,2017-09-07,2019-11-10,
St. Joseph,DM05,,,,Dominica,DM,2017-09-07,2019-11-10,
St. Luke,DM06,,,,Dominica,DM,2017-09-07,2019-11-10,
St. Mark,DM07,,,,Dominica,DM,2017-09-07,2019-11-10,
St. Patrick,DM08,,,,Dominica,DM,2017-09-07,2019-11-10,
St. Paul,DM09,,,,Dominica,DM,2017-09-07,2019-11-10,
St. Peter,DM10,,,,Dominica,DM,2017-09-07,2019-11-10,
