#adm1+name+i_en,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_en,#adm1+name+alt2+i_en,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
West Bank,PS01,,,,State of Palestine (the),PS,2021-03-10,2021-08-10,
Gaza Strip,PS02,,,,State of Palestine (the),PS,2021-03-10,2021-08-10,
