admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
#adm3+name+i_fr,#adm3+code+pcode,,#adm3+name+i_fr,#adm3+name+i_fr,#adm2+name+i_fr,#adm2+code+pcode,#adm1+name+i_fr,#adm1+code+pcode,#adm0+name+i_fr,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
Abobo,TG030801,,,,Zio,TG0308,Maritime,TG03,Togo,TG,2020-12-16,2021-01-07,
Adeta,TG040701,,,,Kpele,TG0407,Plateaux,TG04,Togo,TG,2020-12-16,2021-01-07,
Adetikope,TG030901,,,,Agoe-Nyive,TG0309,Maritime,TG03,Togo,TG,2020-12-16,2021-01-07,
Adiva,TG040101,,,,Amou,TG0401,Plateaux,TG04,Togo,TG,2020-12-16,2021-01-07,
Adjahun Fiagbe,TG040301,,,,Agou,TG0403,Plateaux,TG04,Togo,TG,2020-12-16,2021-01-07,
Adjengere,TG010301,,,,Sotouboua,TG0103,Centrale,TG01,Togo,TG,2020-12-16,2021-01-07,
Adogbenou,TG041101,,,,Anie,TG0411,Plateaux,TG04,Togo,TG,2020-12-16,2021-01-07,
Adzakpa,TG040302,,,,Agou,TG0403,Plateaux,TG04,Togo,TG,2020-12-16,2021-01-07,
Afagnan / Afagnagan,TG030201,,,,Bas-Mono,TG0302,Maritime,TG03,Togo,TG,2020-12-16,2021-01-07,
Affem,TG010401,,,,Tchamba,TG0104,Centrale,TG01,Togo,TG,2020-12-16,2021-01-07,
Aflao Gakli,TG030301,,,,Golfe,TG0303,Maritime,TG03,Togo,TG,2020-12-16,2021-01-07,
Agbandi,TG010101,,,,Blitta,TG0101,Centrale,TG01,Togo,TG,2020-12-16,2021-01-07,
Agbandi-Yaka,TG020501,,,,Doufelgou,TG0205,Kara,TG02,Togo,TG,2020-12-16,2021-01-07,
Agbelouve,TG030802,,,,Zio,TG0308,Maritime,TG03,Togo,TG,2020-12-16,2021-01-07,
Agbodrafo,TG030401,,,,Lacs,TG0304,Maritime,TG03,Togo,TG,2020-12-16,2021-01-07,
