admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,SenDist_en,SenDistPcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
#adm3+name+i_en,#adm3+code+pcode,,#adm3+name+i_en,#adm3+name+i_en,#adm2+name+i_en,#adm2+code+pcode,,,#adm1+name+i_en,#adm1+code+pcode,#adm0+name+i_en,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
Bille,NG002001001,Bille,Bille,,Demsa,NG002001,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Borrong,NG002001002,Borrong,Borrong,,Demsa,NG002001,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Demsa,NG002001003,Demsa,Demsa,,Demsa,NG002001,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Dilli,NG002001004,Dilli,Dilli,,Demsa,NG002001,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Dong,NG002001005,Dong,Dong,,Demsa,NG002001,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Dwam,NG002001006,Dwam,Dwam,,Demsa,NG002001,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Gwamba,NG002001007,Gwamba,Gwamba,,Demsa,NG002001,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Kpasham,NG002001008,Kpasham,Kpasham,,Demsa,NG002001,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Mbula,NG002001009,Mbula,Mbula Kuli,,Demsa,NG002001,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Nassarawo Demsa,NG002001010,Nassarawo Demsa,Nassarawo Demsa,,Demsa,NG002001,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Beti,NG002002001,Beti,Beti,,Fufore,NG002002,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Farang,NG002002002,Farang,Farang,,Fufore,NG002002,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Fufore,NG002002003,Fufore,Fufore,,Fufore,NG002002,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Gurin,NG002002004,Gurin,Gurin,,Fufore,NG002002,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Karlahi,NG002002005,Karlahi,Karlahi,,Fufore,NG002002,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Mayo Inne,NG002002006,Mayo Inne,Mayo Ine,,Fufore,NG002002,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Pariya,NG002002007,Pariya,Pariya,,Fufore,NG002002,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Ribadu,NG002002008,Ribadu,Ribadu,,Fufore,NG002002,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
Uki Tuki,NG002002009,Uki Tuki,Uki Tuki,,Fufore,NG002002,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,2017-03-31,2019-04-17,
